Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"円柱","えんちゅう","えん.ちゅう","column, shaft.","ベイスギを材料に巨大でグロテスクな、しかし美しい円柱を作った。","They made huge, grotesque, yet beautiful poles of red cedar.","楕円, 円周, 円滑, 電柱, 支柱, 大黒柱"
"現在","げんざい","げん.ざい","the present, present time.","私は現在の地位に満足している。","I am content with my current position.","現金, 存在, 滞在, 在学"
"形状","けいじょう","けい.じょう","shape, form.","","","形式, 人形, 図形, 現状, 症状, 状況, 状態, 病状, 長方形"
"於て","おいて","おい","at (a time or place), in.","私の娘はおてんば娘だ。","My daughter is a tomboy.","信頼の於ける, 全てに於いて"
"老いる","おいる","お","to age, to grow old.","かわいそうな事にその老いた女性はまたもバッグを盗まれた。","The poor old woman had her bag stolen again.","老人, 老後"
"置く","おく","お","to put, to place.","それをテーブルの上に置きなさい。","Lay it on the table.","装置, 物置, 位置, 設置"
"追手","おいて","おい.て","pursuer, pursuing party.","","","追加, 追及, 派手, 上手, 下手, 運転手, 追い越す"
"追い風","おいかぜ","お..かぜ","tailwind, fair wind.","追い風の時に帆を上げよ。","Hoist your sail when the wind is fair.","追加, 追及, 台風, 風邪, 風呂, 風景, 扇風機, 追い越す"
"降りる","おりる","お","to descend (e.g. a mountain), to go down.","あのプロのスキーヤーは離れ業をしながら山をおりるのが好きだった。","The professional skier liked to hot-dog down the mountain.","以降, 下降"
"お別れ","おわかれ",".わか","parting, farewell.","お別れを言いにちょっと立ち寄ってみました。","I just dropped in to say goodbye.","特別, 別荘"
"開始","かいし","かい.し","start, commencement.","何時に搭乗開始ですか。","What time does boarding begin?","開放, 原始, 始終"
"改築","かいちく","かい.ちく","structural alteration (of a building), reconstruction.","わが家は全面的に改築された。","Our house was entirely rebuilt.","改善, 改造, 改正, 建築, 新築, 築き上げる"
"実家","じっか","じっ.か","(one's parents') home, living with one's parents.","私の両親は二人とも今、実家にいます。","Both my parents are at home now.","確実, 実験, 現実, 家族, 家賃, 家庭"
"築","ちく","ちく","... years since construction, ... years old (of a building).","彼は貿易で財産を築いた。","He made his fortune from commerce.",""
"快適","かいてき","かい.てき","pleasant, agreeable.","これはたいそう快適な暖炉ですね。","This is a very nice fireplace.","愉快, 快晴, 軽快, 適当, 適切, 適用, 適度"
"部屋","へや","へ.や","room, chamber.","マユコは部屋に入った。","Mayuko entered the room.","全部, 部長, 部分, 屋上, 屋外, 床屋, 大部分, 八百屋"
"開封","かいふう","かい.ふう","opening (a letter, parcel, etc.), breaking the seal.","彼はその手紙を開封しないで送り返した。","He sent the letter back unopened.","開始, 開放, 封筒, 封鎖, 同封, 封書"
"解放","かいほう","かい.ほう","release, unleashing.","人質は解放されるだろう。","The hostages will be released.","解決, 解釈, 放送, 開放"
"確認","かくにん","かく.にん","confirmation, verification.","予約は確認されています。","I have a confirmed reservation.","確実, 明確, 承認, 公認, 認識"
"掛ける","かける","か","to hang up (e.g. a coat, a picture on the wall), to let hang.","コートをハンガーに掛けておきなさい。","Put your coat on a hanger.","心掛け, 手掛かり, 大掛かり"
"微か","かすか","かす","faint, dim.","すぐそばでかすかな音がした。","I heard a faint sound nearby.","微妙, 微塵, 微笑む, 顕微鏡"
"声","こえ","こえ","voice, singing (of a bird).","あなたの声が聞けてうれしいわ。","I am happy to hear your voice.",""
"音声","おんせい","おん.せい","voice, speech.","テレビの音声を低くしてもいい？","Do you mind if I turn down the TV?","音楽, 本音, 発音, 物音, 声明, 歌声, 声高"
"片付け","かたづけ","かた.づ","tidying up, finishing.","まもなく例のウエーターが皿を片付けに戻ってきた。","Soon the same waiter came back to pick up the dishes.","破片, 片道, 寄付, 日付, 受付, 片寄る, 片付く, 見付ける"
"可能","かのう","か.のう","possible, potential.","男の子へのしつけは可能である。","Boys can be trained to behave.","許可, 機能, 才能, 能力, 可愛い, 可哀想"
"壁","かべ","かべ","wall, partition.","男はビンを壁に叩きつけた。","The man dashed the bottle against the wall.",""
"白い","しろい","しろ","white, white clothes.","ケンは自転車を白く塗りました。","Ken painted his bicycle white.","白髪"
"可憐","かれん","か.れん","sweet (e.g. young girls, flowers blooming), touchingly lovely.","","","可能, 許可, 憐憫, 可愛い, 可哀想, 自己憐憫"
"少女","しょうじょ","しょう.じょ","girl (usu. between 7 and 17), young lady.","あのかわいい少女は私の妹です。","That pretty girl is my sister.","少年, 多少, 女性, 女房, 彼女, 女の子"
"為替","かわせ","かわせ","money order, draft.","この為替を作るのに銀行の手数料が５０ドルかかった。","Arranging this money order cost $50 in bank fees and commissions.","行為, 交替, 両替, 着替え"
"為","ため","ため","good, advantage.","あなたのためなら喜んでどんなことでもします。","I am ready to do anything for you.",""
"握手","あくしゅ","あく.しゅ","handshake, reconciliation.","彼は友人と握手した。","He shook hands with his friend.","握力, 派手, 上手, 下手, 一握り, 運転手, 握り締める"
"観光","かんこう","かん.こう","sightseeing, tourism.","観光ガイドは雇えますか。","Is there a tour guide available?","観客, 観察, 観測, 観念, 光景, 日光"
"漫画","まんが","まん.が","cartoon, comic.","僕の趣味は漫画を読む事です。","My hobby is reading comics.","漫才, 漫談, 散漫, 映画, 計画, 企画, 映画館"
"画家","がか","が.か","painter, artist.","その画家は、いわば永遠の少年だ。","The artist is eternally a boy.","映画, 計画, 企画, 漫画, 家族, 家賃, 家庭, 映画館"
"記憶","きおく","き.おく","memory, recollection.","私はその日の記憶を呼び覚まそうとした。","I tried to call on my memories of that day.","日記, 記事, 記者, 憶測, 追憶, 憶見"
"夏","なつ","なつ","summer, Xia dynasty (of China; ca. 2070-1600 BCE; possibly mythological).","この夏最高の暑さだ。","It is the hottest this summer.",""
"気温","きおん","き.おん","(air) temperature, temperature sensitivity.","気温が下がると関節が痛むんだ。","My joints ache when it gets cold.","元気, 気配, 湯気, 気質, 天気, 温度, 体温, 温暖"
"高い","たかい","たか","high, tall.","銀行はリスクの高い顧客へのローンには高い金利をつける。","Banks charge higher interest on loans to risky customers.","高校, 残高, 高校生"
"企画","きかく","き.かく","planning, plan.","私はあなたの企画に参加する。","I take part in your enterprise.","企業, 映画, 計画, 漫画, 大企業, 映画館"
"進める","すすめる","すす","to advance, to move forward.","ナポレオンは軍隊をロシアに進めた。","Napoleon marched his armies into Russia.","進学, 進歩, 前進"
"気候","きこう","き.こう","climate, climate change.","その国は気候が温和だ。","That country has a mild climate.","元気, 気配, 湯気, 気質, 天気, 候補, 天候, 立候補"
"暖かい","あたたかい","あたた","warm, mild.","だんだん暖かくなります。","It will get warmer and warmer.","暖房, 温暖"
"旧","きゅう","きゅう","old, former.","官僚は旧法規の改正に関して、成り行きを見守っています。","Bureaucrats are testing the waters over revising old regulations.",""
"友","とも","とも","friend, companion.","まさかの時の友こそ真の友。","A friend in need is a friend indeed.",""
"教会","きょうかい","きょう.かい","church, congregation.","その教会は１１７３年までさかのぼる。","The church dates back to 1173.","教室, 教育, 会社, 会議, 会場, 出会う"
"空港","くうこう","くう.こう","airport, landing fee.","どの空港から出発しますか。","Which airport do I leave from?","空気, 開港, 香港, 港湾"
"羽田","はた","は.た","Hata, Hatane.","","","羽織, 羽毛, 羽目, 水田, 田舎, 田園, 田植え"
"暮らす","くらす","く","to live, to get along.","１日１ドルでアメリカで暮らしていけると思いますか。","Do you think you can live on a dollar a day in America?","夕暮れ"
"群","ぐん","ぐん","group, bunch.","牧羊犬が、羊の群を牧場へ連れていく。","A sheep dog drives the flock to the pasture.",""
"子供","こども","こ.ども","child, children.","あなたには何人子供がいますか。","How many children do you have?","帽子, 双子, 椅子, 王子, 供給, 提供, 供述"
"消印","けしいん","けし.いん","postmark, (postal) cancellation mark.","","","消費, 消防, 印刷, 目印, 印象, 矢印"
"景色","けしき","け.しき","scenery, scene.","その景色は言葉では表現できないほどだった。","The scenery was beyond description.","景気, 光景, 風景, 背景, 特色, 黄色, 脚色"
"趣","おもむき","おもむき","meaning, tenor.","それは、いくぶんナンセンスな趣きの楽しさがあった。","It was a delightful bit of nonsense.",""
"決定","けってい","けっ.てい","decision, determination.","われわれは最終的決定を行った。","We've made a final decision.","解決, 可決, 予定, 勘定, 安定, 定規"
"秋田","あきた","あき.た","Akita (city, prefecture), Akita Prefecture (Tōhoku area).","","","秋風, 春秋, 水田, 田舎, 田園, 千秋楽, 田植え, 春夏秋冬"
"検索","けんさく","けん.さく","looking up (e.g. a word in a dictionary), search (e.g. on the Internet).","政府はその問題の決定案をまだ検索中だ。","The government is still groping for a solution to the problem.","検査, 検討, 検事, 点検, 探検, 索引, 捜索, 模索"
"効果","こうか","こう.か","effect, effectiveness.","彼らがいくら弁解しても彼女には何の効果もなかった。","Their excuses cut no ice with her.","有効, 効力, 結果, 果物, 効き目"
"降下","こうか","こう.か","descent, fall.","その大型機は鋭い音を立ててほとんど直角に降下した。","The giant plane screamed down in an almost vertical dive.","以降, 下降, 靴下, 下宿, 地下鉄"
"飛行機","ひこうき","ひ.こう.き","airplane, aeroplane.","あなたは飛行機で旅行したことがありますか。","Have you ever traveled by air?","銀行, 行儀, 機会, 機械, 機関, 機能, 飛行場, 飛び出す"
"広告","こうこく","こう.こく","advertisement, advertising.","その商品はテレビで広告された。","The goods were advertised on TV.","背広, 広場, 警告, 報告, 申告"
"行動","こうどう","こう.どう","action, conduct.","彼は友人の行動に憤慨した。","He resented his friend's action.","銀行, 行儀, 動物, 自動車"
"遅い","おそい","おそ","slow, late.","彼女は走るのが遅い。","She is a slow runner.","遅刻, 手遅れ"
"項目","こうもく","こう.もく","item, heading.","これは何の項目に入るか。","What heading does this come under?","要項, 事項, 条項, 注目, 面目, 駄目, 目的, 禁止事項"
"以上","いじょう","い.じょう","not less than ..., ... and over.","６歳以上の子供は学校に通わなければならない。","Children of six and above should attend school.","以下, 以内, 以外, 上手, 上着, 申し上げる"
"頃","ころ","ころ","(approximate) time, around.","大抵の晩餐は１１時頃に終わります。","Most dinner parties break up about eleven o'clock.",""
"学生","がくせい","がく.せい","student (esp. a university student), Heian-period student of government administration.","学生の半数が休んでいた。","Half the students were absent.","学校, 大学, 小学校, 誕生日, 一生懸命"
"御案内","ごあんない","ご.あん.ない","guidance, leading (the way).","明日お暇ならば、京都のあちこちをご案内できます。","If you are free tomorrow, I can show you around Kyoto.","御中, 御飯, 防御, 提案, 答案, 案外, 以内, 家内, 御願い"
"号室","ごうしつ","ごう.しつ","suffix for room numbers, suffix for apartment numbers.","３１８号室のお客さんに持って行ってあげなさい。","Take it to the men in Room 318.","番号, 信号, 記号, 符号, 教室, 温室, 会議室, 研究室, 待合室"
"削除","さくじょ","さく.じょ","deletion, elimination.","「百八といえば煩悩の数だ」「お兄ちゃんはどんな煩悩があるの？」「言ってもいいが、検閲削除になるぞ」","Talking about 108, that's the number of worldly passions. What worldly passions have you got then? I could say, but it'll get censored out.","削減, 添削, 掃除, 解除, 削り節, 取り除く"
"全て","すべて","すべ","everything, all.","彼女は子供のために全てを犠牲にした。","She gave up everything for her children.","全部, 安全, 完全"
"下さい","ください","くだ","please (give me), please (do for me).","熱いココアを下さい。","I'd like to have some hot chocolate.","靴下, 下宿, 地下鉄"
"差出人","さしだしにん","さし.だし.にん","sender (e.g. of mail).","彼らは差出人と受取人の名前を混同した。","They confused the names of the sender and the addressee.","出口, 提出, 出身, 人形, 一人, 恋人, 交差点, 日差し, 外国人, 引き出し, 差し上げる"
"髑髏","どくろ","どく.ろ","skull (esp. weatherbeaten, used as symbol of death), death's head.","","",""
"文野","あやの","あや.の","Ayano, Fumino.","","","文章, 注文, 文字, 作文, 野菜, 分野, 平野, 視野"
"亜弥","あまね","あ.まね","Amane, Ami.","","","東亜, 亜鉛, 白亜, 亜種, 弥生, 弥勒, 亜熱帯, 阿弥陀, 弥生時代, 南無阿弥陀仏"
"覚","さとり","さとり","Satori, to memorize.","あなたが知っている事を全部彼に話す事を覚えておいてください。","You must remember to tell him all that you know.",""
"幻覚","げんかく","げん.かく","hallucination, illusion.","幻覚が見えると言っている。","She says she is seeing things.","幻想, 幻影, 夢幻, 覚悟, 感覚, 目覚まし"
"財","ざい","ざい","fortune, riches.","彼は努力によって財を成した。","He has made a fortune through hard work.",""
"財産","ざいさん","ざい.さん","property, fortune.","ミスで財産を失った。","My mistake cost me my fortune.","財布, 財政, 財閥, 産業, 生産, 土産, 文化財, お土産"
"雑誌","ざっし","ざっ.し","magazine, journal.","その雑誌はどこで買えますか。","Where can I buy that magazine?","複雑, 雑巾, 混雑, 雑音, 日誌, 週刊誌, 学会誌"
"読む","よむ","よ","to read, to recite (e.g. a sutra).","ミルトンの作品を読んだことがありますか。","Have you ever read Milton's works?","読書, 読者, 句読点"
"色彩","しきさい","しき.さい","colour, color.","雄のくじゃくは尾の羽毛が色彩豊かである。","The male peacock has colorful tail feathers.","特色, 景色, 黄色, 脚色, 多彩, 精彩"
"施す","ほどこす","ほどこ","to give (time, money, goods), to donate.","彼は自分の王国に善政を施した。","He ruled his kingdom fairly.","実施, 施設, 施行, 布施"
"失恋","しつれん","しつ.れん","disappointed love, broken heart.","それから８ヶ月が過ぎると、ジョージは失恋から立ち直り、次第に色んな女とデートをするようになる。","After eight months passed and his broken heart healed, George eventually started dating girls again.","失業, 失敗, 失望, 失格, 恋人, 恋愛"
"指定","してい","し.てい","designation, specification.","切符を申し込まれる際は代替日もご指定ください。","When applying for tickets, please give alternative dates.","指導, 指図, 予定, 勘定, 安定, 定規, 目指す"
"教科書","きょうかしょ","きょう.か.しょ","textbook, coursebook.","教科書はどうしたらいいんでしょうか。","Where do we get the textbooks?","教室, 教育, 科学, 科目, 外科, 理科, 葉書, 書留, 図書館, 下書き"
"市内","しない","し.ない","in the city, within the city.","市内をぐるっとご案内しましょう。","I'll show you around the city.","市民, 市場, 都市, 以内, 家内, 案内"
"京都","きょうと","きょう.と","Kyoto (city, prefecture), Kyoto Prefectural Police.","あなたは何回京都を訪れましたか。","How often did you visit Kyoto?","上京, 帰京, 京阪, 北京, 首都, 都合, 都会, 都市"
"終点","しゅうてん","しゅう.てん","terminus, last stop (e.g. train).","この線の終点はどこですか。","Where is the end of this line?","最終, 始終, 終了, 欠点, 交差点"
"主義","しゅぎ","しゅ.ぎ","doctrine, rule.","それは私の主義に反する。","That runs against my principles.","家主, 地主, 講義, 義務, 意義, 正義, ご主人"
"民権","みんけん","みん.けん","civil rights, democracy (as propounded by Sun Yat-sen).","","","市民, 国民, 住民, 農民, 民間, 権利, 権威, 権限, 権力, 政権"
"縮小","しゅくしょう","しゅく.しょう","reduction, curtailment.","縮小コピーを撮ってくるよ。","I'm going to make reduced copies.","圧縮, 恐縮, 小鳥, 小屋, 小説, 小学校"
"紹介","しょうかい","しょう.かい","introduction, presentation.","あなたを私の両親に紹介したい。","I want you to meet my parents.","厄介, 仲介, 介護, 介入"
"自己","じこ","じ.こ","self, oneself.","彼は自己を没却する男ではない。","He knows how to assert himself.","自然, 自転車, 自惚れ, 自動車, 利己主義"
"使用","しよう","し.よう","use, application.","使用する前に瓶を振ってください。","Shake the bottle before using.","大使, 用意, 利用, 用事, 大使館"
"出来る","できる","で.き","to be able to do, to be possible.","申し訳ないけど長居できないんですよ。","I'm sorry, I can't stay long.","出口, 提出, 出身, 来月, 来週, 来年, 出来事, 引き出し"
"調べる","しらべる","しら","to examine, to look up.","ココの知能指数を調べるのは容易ではない。","Testing Koko's IQ is not easy.","順調, 調査, 調子"
"辺り","あたり","あた","(in the) neighbourhood, neighborhood.","彼の家は４番街のあたりにある。","His house is somewhere about Fourth Street.","浜辺, 周辺"
"神経","しんけい","しん.けい","nerve, nerves.","必ずしも成長段階の子供たちを、あまり細かい神経をつかって扱うべきでない。","Growing children should not always be handled with kid gloves.","神社, 精神, 神様, 経済, 経営, 経験"
"神経学","しんけいがく","しん.けい.がく","neurology, neurologist.","","","神社, 精神, 神様, 経済, 経営, 経験, 学生, 学校, 大学, 小学校"
"進行","しんこう","しん.こう","moving forward (e.g. of a vehicle), onward movement.","その仕事は現在進行しています。","The work is now in progress.","進学, 進歩, 前進, 銀行, 行儀"
"親友","しんゆう","しん.ゆう","close friend, bosom friend.","トムとフランクは親友だ。","Tom and Frank are good friends.","両親, 父親, 親切, 友人, 友達, 友情"
"一番","いちばん","いち.ばん","number one, first.","このネクタイにしましょう、一番よさそうだから。","I will take this tie, as it seems to be the best.","一緒, 唯一, 番号, 交番, 番組, 順番, 一昨日"
"自室","じしつ","じ.しつ","one's own room.","彼は自室に閉じこもった。","He confined himself to his room.","自然, 教室, 温室, 自転車, 自惚れ, 自動車, 会議室, 研究室, 待合室"
"綺麗","きれい","き.れい","pretty, lovely.","この芋虫がきれいな蝶になるのだ。","This caterpillar will become a beautiful butterfly.","華麗, 高麗, 壮麗, 綺羅星, 美辞麗句"
"奇麗","きれい","き.れい","pretty, lovely.","この芋虫がきれいな蝶になるのだ。","This caterpillar will become a beautiful butterfly.","奇妙, 奇跡, 奇数, 怪奇, 綺麗, 華麗, 高麗, 壮麗, 好奇心, 美辞麗句"
"帰省","きせい","き.せい","homecoming, returning home.","今夜帰省されるのですね。","Oh, you're going home tonight!","帰宅, 帰京, 省略, 反省, 日帰り, 外務省"
"重要","じゅうよう","じゅう.よう","important, essential.","その結び目を守るのは重要なことだ。","Maintaining that tie is important.","重視, 貴重, 重大, 必要, 主要, 要求"
"意義","いぎ","い.ぎ","meaning, significance.","レイプ危機運動の内部においては、グリーンサイトによる異議表明は重要な意義を持っている。","Within the rape crisis movement, Greensite's dissent is significant.","意味, 意見, 注意, 用意, 意外, 講義, 義務, 主義, 正義"
"意","い","い","feelings, thoughts.","あなたのご親切に対し深く感謝の意を表します。","I wish to express my deep appreciation for your kindness.",""
"受験","じゅけん","じゅ.けん","taking an examination (esp. for entrance to a school or university), student preparing for or taking examinations (usu. entrance exams).","受験したが失敗するだけだった。","I sat the exam only to fail it.","受付, 受信, 試験, 経験, 実験, 体験, 受話器"
"落ちる","おちる","お","to fall, to drop.","おじいちゃんが階段から落ちて大怪我をしたんだ。","Grandpa fell down the stairs and got a serious injury.","落第, 落下, 洒落, 墜落"
"赤点","あかてん","あか.てん","failing mark (e.g. in exam).","今じゃ、ボクのお料理レベルは、１００点中４５点くらい。スゴイだろ、赤点じゃないのさ！","Right now my score in Cooking is about 45 out of 100. Great isn't it? That's not a fail!","赤道, 欠点, 真っ赤, 赤ん坊, 交差点"
"準備","じゅんび","じゅん.び","preparation, arrangements.","準備ができるまでちょっと待ってくれ。","Hang on a bit until I'm ready.","水準, 基準, 標準, 準急, 設備, 整備"
"仕事","しごと","し.ごと","work, job.","「あなたは仕事が気に入っていると思います」「いやそれどころか、嫌いです」","I think you like your job. On the contrary, I hate it.","仕方, 奉仕, 事故, 見事, 仕組み, 仕上げ, 事務所"
"徐々","じょじょ","じょ.じょ","slow, gradual.","単語は徐々に増えますので、こまめにチェックしてください。","The words covered are steadily increasing, so check frequently.","徐行, 徐脈"
"消える","きえる","き","to disappear, to vanish.","たくさんの虫が一晩のうちに消えてしまった。","A lot of insects vanished overnight.","消費, 消防"
"須越","すごし","す.ごし","Sugoshi, Sugoshichō.","","","必須, 須義, 須臾, 必須条件, 引っ越す, 引っ越し, 追い越す"
"怠惰","たいだ","たい.だ","lazy, idle.","怠惰は悪徳のもと。","Idle hands are the devil's tool.","怠慢, 惰性, 惰眠, 惰弱, 勤惰"
"随分","ずいぶん","ずい.ぶん","very, extremely.","私たちはもうずいぶん長くここにいます。","We've been here long enough.","随筆, 随時, 随一, 追随, 自分, 大分, 半分"
"変わる","かわる","か","to change, to be transformed.","私のE-mailアドレスが変わりました。","My e-mail address has been changed.","大変, 一変"
"正式","せいしき","せい.しき","formal, official.","彼女の服装は正式なパーティーでは場違いだった。","Her clothes were out of place at a formal party.","修正, 正午, 正直, 形式, 公式, 儀式"
"制服","せいふく","せい.ふく","uniform, uniformed personnel.","私たちの学校では制服を着る。","We wear uniforms at our school.","制限, 制度, 制作, 体制, 規制, 軍服, 洋服, 服装, 衣服"
"着る","きる","き","to wear (from the shoulders down), to put on.","「あの赤い服を着るのはよしなさい」「なぜいけないの」","You had better not wear the red dress. Why not?","到着, 上着, 着工"
"整理","せいり","せい.り","sorting, arrangement.","部屋の整理をしたほうがいいよ。","You should set your room in order.","整備, 調整, 整数, 料理, 無理, 理由, 地理, 管理"
"設計","せっけい","せっ.けい","plan, design.","私の設計にしたがって、作ってもらいました。","I had it made after my own plan.","建設, 設備, 設置, 時計, 会計, 計画, 計算"
"事務所","じむしょ","じ.む.しょ","office.","私のおじはこの事務所で働いている。","My uncle works in this office.","事故, 仕事, 見事, 義務, 近所, 台所, 余所, 公務員"
"説明","せつめい","せつ.めい","explanation, exposition.","私に規則を説明して下さい。","Please explain the rule to me.","小説, 説得, 演説, 明後日"
"育ち","そだち","そだ","growth, breeding.","私は生まれも育ちも東京だ。","I was born and raised in Tokyo.","教育, 体育, 育児"
"生まれる","うまれる","う","to be born, to give birth.","あなたは何座生まれですか。","What sign were you born under?","学生, 誕生日, 一生懸命"
"束","たば","たば","bundle, bunch.","そうしたら、茂みの下にいくつかの１０００ドル札の束を見つけ、それをバスケットの中に入れた。","Then she found several stacks of thousand-dollar bills under a bush and put them in her basket.",""
"東","ひがし","ひがし","east, eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara).","名古屋は京都の東の方にある。","Nagoya is to the east of Kyoto.",""
"建築学","けんちくがく","けん.ちく.がく","architecture.","","","建設, 建物, 新築, 改築, 学生, 学校, 大学, 小学校, 二階建て, 築き上げる"
"直接","ちょくせつ","ちょく.せつ","direct, immediate.","彼女に直接言ったらどうですか。","Why don't you tell her directly?","直径, 正直, 面接, 接近, 間接, 真っ直ぐ"
"証拠","しょうこ","しょう.こ","evidence, proof.","この証拠は彼にとって不利だった。","This evidence was against him.","証明, 保証, 証券, 根拠, 拠点, 本拠, 占拠"
"通","つう","つう","authority, expert.","コーヒー通の人達に結構評判がいいそうです。","I hear that it has quite the reputation with coffee connoisseurs.",""
"通信","つうしん","つう.しん","correspondence, communication.","彼は、無電で通信を送った。","He sent a message by wireless.","交通, 融通, 信号, 信用, 信頼, 信仰, 大通り"
"償う","つぐなう","つぐな","to make up for, to compensate for.","彼はどうやって損失を償うのだろうか。","How will he make good the loss?","補償, 賠償, 代償, 弁償"
"罪","つみ","つみ","crime, sin.","ビルはその罪を犯していなかった。","Bill did not commit the crime.",""
"続く","つづく","つづ","to continue, to last.","どれくらいこの寒い天気は続きますか。","How long will this cold weather go on?","連続, 相続, 継続"
"勤め","つとめ","つと","service, duty.","お勤めはどちらですか。","Who do you work for?","通勤, 出勤, 勤務"
"刑期","けいき","けい.き","prison term.","彼は１０年の刑期を務めた。","He served a ten-year prison term.","刑事, 死刑, 処刑, 延期, 期間, 期待, 時期, 長期, 刑務所"
"募る","つのる","つの","to become stronger, to grow in intensity.","世界の航空産業は墜落事故についての懸念を募らせている。","The world's aviation industry is growing increasingly worried about crashes.","募集, 応募, 募金, 公募"
"出資","しゅっし","しゅっ.し","investment, contribution.","私達は同社に５０％出資している。","We have a 50% interest in the company.","出口, 提出, 出身, 資源, 資本, 資料, 資格, 資金, 引き出し"
