Question,Answer,Furigana,Meaning,Example,Translation
"検索","けんさく","けん.さく","looking up (e.g. a word in a dictionary), search (e.g. on the Internet)","政府はその問題の決定案をまだ検索中だ。","The government is still groping for a solution to the problem."
"効果","こうか","こう.か","effect, effectiveness","彼らがいくら弁解しても彼女には何の効果もなかった。","Their excuses cut no ice with her."
"降下","こうか","こう.か","descent, fall","その大型機は鋭い音を立ててほとんど直角に降下した。","The giant plane screamed down in an almost vertical dive."
"飛行機","ひこうき","ひ.こう.き","airplane, aeroplane","あなたは飛行機で旅行したことがありますか。","Have you ever traveled by air?"
"広告","こうこく","こう.こく","advertisement, advertising","その商品はテレビで広告された。","The goods were advertised on TV."
"行動","こうどう","こう.どう","action, conduct","彼は友人の行動に憤慨した。","He resented his friend's action."
"遅い","おそい","おそ","slow, late","彼女は走るのが遅い。","She is a slow runner."
"項目","こうもく","こう.もく","item, heading","これは何の項目に入るか。","What heading does this come under?"
"以上","いじょう","い.じょう","not less than ..., ... and over","６歳以上の子供は学校に通わなければならない。","Children of six and above should attend school."
"頃","ころ","ころ","(approximate) time, around","大抵の晩餐は１１時頃に終わります。","Most dinner parties break up about eleven o'clock."
"学生","がくせい","がく.せい","student (esp. a university student), Heian-period student of government administration","学生の半数が休んでいた。","Half the students were absent."
"御案内","ごあんない","ご.あん.ない","guidance, leading (the way)","明日お暇ならば、京都のあちこちをご案内できます。","If you are free tomorrow, I can show you around Kyoto."
"号室","ごうしつ","ごう.しつ","suffix for room numbers, suffix for apartment numbers","３１８号室のお客さんに持って行ってあげなさい。","Take it to the men in Room 318."
"削除","さくじょ","さく.じょ","deletion, elimination","「百八といえば煩悩の数だ」「お兄ちゃんはどんな煩悩があるの？」「言ってもいいが、検閲削除になるぞ」","'Talking about 108, that's the number of worldly passions.' 'What worldly passions have you got then?' 'I could say, but it'll get censored out.'"
"全て","すべて","すべ","everything, all","彼女は子供のために全てを犠牲にした。","She gave up everything for her children."
"下さい","ください","くだ","please (give me), please (do for me)","熱いココアを下さい。","I'd like to have some hot chocolate."
"差出人","さしだしにん","さし.だし.にん","sender (e.g. of mail)","彼らは差出人と受取人の名前を混同した。","They confused the names of the sender and the addressee."
"髑髏","どくろ","どく.ろ","skull (esp. weatherbeaten, used as symbol of death), death's head","",""
"文野","あやの","あや.の","Ayano, Fumino","",""
"亜弥","あまね","あ.まね","Amane, Ami","",""
"覚","さとり","さとり","Satori","",""
"幻覚","げんかく","げん.かく","hallucination, illusion","幻覚が見えると言っている。","She says she is seeing things."
"財","ざい","ざい","fortune, riches","彼は努力によって財を成した。","He has made a fortune through hard work."
"財産","ざいさん","ざい.さん","property, fortune","ミスで財産を失った。","My mistake cost me my fortune."
"雑誌","ざっし","ざっ.し","magazine, journal","その雑誌はどこで買えますか。","Where can I buy that magazine?"
"読む","よむ","よ","to read, to recite (e.g. a sutra)","ミルトンの作品を読んだことがありますか。","Have you ever read Milton's works?"
"色彩","しきさい","しき.さい","colour, color","雄のくじゃくは尾の羽毛が色彩豊かである。","The male peacock has colorful tail feathers."
"施す","ほどこす","ほどこ","to give (time, money, goods), to donate","彼は自分の王国に善政を施した。","He ruled his kingdom fairly."
"失恋","しつれん","しつ.れん","disappointed love, broken heart","それから８ヶ月が過ぎると、ジョージは失恋から立ち直り、次第に色んな女とデートをするようになる。","After eight months passed and his broken heart healed, George eventually started dating girls again."
"指定","してい","し.てい","designation, specification","切符を申し込まれる際は代替日もご指定ください。","When applying for tickets, please give alternative dates."
"教科書","きょうかしょ","きょう.か.しょ","textbook, coursebook","教科書はどうしたらいいんでしょうか。","Where do we get the textbooks?"
"市内","しない","し.ない","in the city, within the city","市内をぐるっとご案内しましょう。","I'll show you around the city."
"京都","きょうと","きょう.と","Kyoto (city, prefecture)","あなたは何回京都を訪れましたか。","How often did you visit Kyoto?"
"終点","しゅうてん","しゅう.てん","terminus, last stop (e.g. train)","この線の終点はどこですか。","Where is the end of this line?"
"主義","しゅぎ","しゅ.ぎ","doctrine, rule","それは私の主義に反する。","That runs against my principles."
"民権","みんけん","みん.けん","civil rights","",""
"縮小","しゅくしょう","しゅく.しょう","reduction, curtailment","縮小コピーを撮ってくるよ。","I'm going to make reduced copies."
"紹介","しょうかい","しょう.かい","introduction, presentation","あなたを私の両親に紹介したい。","I want you to meet my parents."
"自己","じこ","じ.こ","self, oneself","彼は自己を没却する男ではない。","He knows how to assert himself."
"使用","しよう","し.よう","use, application","使用する前に瓶を振ってください。","Shake the bottle before using."
"出来る","できる","で.き","to be able to do, to be possible","申し訳ないけど長居できないんですよ。","I'm sorry, I can't stay long."
"調べる","しらべる","しら","to examine, to look up","ココの知能指数を調べるのは容易ではない。","Testing Koko's IQ is not easy."
"辺り","あたり","あた","(in the) neighbourhood, neighborhood","彼の家は４番街のあたりにある。","His house is somewhere about Fourth Street."
"神経","しんけい","しん.けい","nerve, nerves","必ずしも成長段階の子供たちを、あまり細かい神経をつかって扱うべきでない。","Growing children should not always be handled with kid gloves."
"神経学","しんけいがく","しん.けい.がく","neurology","",""
"進行","しんこう","しん.こう","moving forward (e.g. of a vehicle), onward movement","その仕事は現在進行しています。","The work is now in progress."
"親友","しんゆう","しん.ゆう","close friend, bosom friend","トムとフランクは親友だ。","Tom and Frank are good friends."
"一番","いちばん","いち.ばん","number one, first","このネクタイにしましょう、一番よさそうだから。","I will take this tie, as it seems to be the best."
"自室","じしつ","じ.しつ","one's own room","彼は自室に閉じこもった。","He confined himself to his room."
"綺麗","きれい","き.れい","pretty, lovely","この芋虫がきれいな蝶になるのだ。","This caterpillar will become a beautiful butterfly."
"奇麗","きれい","き.れい","pretty, lovely","この芋虫がきれいな蝶になるのだ。","This caterpillar will become a beautiful butterfly."
"帰省","きせい","き.せい","homecoming, returning home","今夜帰省されるのですね。","Oh, you're going home tonight!"
"重要","じゅうよう","じゅう.よう","important, essential","その結び目を守るのは重要なことだ。","Maintaining that tie is important."
"意義","いぎ","い.ぎ","meaning, significance","レイプ危機運動の内部においては、グリーンサイトによる異議表明は重要な意義を持っている。","Within the rape crisis movement, Greensite's dissent is significant."
"意","い","い","feelings, thoughts","あなたのご親切に対し深く感謝の意を表します。","I wish to express my deep appreciation for your kindness."
"受験","じゅけん","じゅ.けん","taking an examination (esp. for entrance to a school or university)","受験したが失敗するだけだった。","I sat the exam only to fail it."
"落ちる","おちる","お","to fall, to drop","おじいちゃんが階段から落ちて大怪我をしたんだ。","Grandpa fell down the stairs and got a serious injury."
"赤点","あかてん","あか.てん","failing mark (e.g. in exam)","今じゃ、ボクのお料理レベルは、１００点中４５点くらい。スゴイだろ、赤点じゃないのさ！","Right now my score in Cooking is about 45 out of 100. Great isn't it? That's not a fail!"
"準備","じゅんび","じゅん.び","preparation, arrangements","準備ができるまでちょっと待ってくれ。","Hang on a bit until I'm ready."
"仕事","しごと","し.ごと","work, job","「あなたは仕事が気に入っていると思います」「いやそれどころか、嫌いです」","'I think you like your job.' 'On the contrary, I hate it.'"
"徐々","じょじょ","じょ.じょ","slow, gradual","",""
"消える","きえる","き","to disappear, to vanish","たくさんの虫が一晩のうちに消えてしまった。","A lot of insects vanished overnight."
"須越","すごし","す.ごし","Sugoshi","",""
"怠惰","たいだ","たい.だ","lazy, idle","怠惰は悪徳のもと。","Idle hands are the devil's tool."
"随分","ずいぶん","ずい.ぶん","very, extremely","私たちはもうずいぶん長くここにいます。","We've been here long enough."
"変わる","かわる","か","to change, to be transformed","私のE-mailアドレスが変わりました。","My e-mail address has been changed."
"正式","せいしき","せい.しき","formal, official","彼女の服装は正式なパーティーでは場違いだった。","Her clothes were out of place at a formal party."
"制服","せいふく","せい.ふく","uniform","私たちの学校では制服を着る。","We wear uniforms at our school."
"着る","きる","き","to wear (from the shoulders down), to put on","「あの赤い服を着るのはよしなさい」「なぜいけないの」","'You had better not wear the red dress.' 'Why not?'"
"整理","せいり","せい.り","sorting, arrangement","部屋の整理をしたほうがいいよ。","You should set your room in order."
"設計","せっけい","せっ.けい","plan, design","私の設計にしたがって、作ってもらいました。","I had it made after my own plan."
"事務所","じむしょ","じ.む.しょ","office","私のおじはこの事務所で働いている。","My uncle works in this office."
"説明","せつめい","せつ.めい","explanation, exposition","私に規則を説明して下さい。","Please explain the rule to me."
"育ち","そだち","そだ","growth, breeding","私は生まれも育ちも東京だ。","I was born and raised in Tokyo."
"生まれる","うまれる","う","to be born","あなたは何座生まれですか。","What sign were you born under?"
"束","たば","たば","bundle, bunch","そうしたら、茂みの下にいくつかの１０００ドル札の束を見つけ、それをバスケットの中に入れた。","Then she found several stacks of thousand-dollar bills under a bush and put them in her basket."
"東","ひがし","ひがし","east, eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara)","名古屋は京都の東の方にある。","Nagoya is to the east of Kyoto."
"建築学","けんちくがく","けん.ちく.がく","architecture","",""
"直接","ちょくせつ","ちょく.せつ","direct, immediate","彼女に直接言ったらどうですか。","Why don't you tell her directly?"
"証拠","しょうこ","しょう.こ","evidence, proof","この証拠は彼にとって不利だった。","This evidence was against him."
"通","つう","つう","authority, expert","コーヒー通の人達に結構評判がいいそうです。","I hear that it has quite the reputation with coffee connoisseurs."
"通信","つうしん","つう.しん","correspondence, communication","彼は、無電で通信を送った。","He sent a message by wireless."
"償う","つぐなう","つぐな","to make up for, to compensate for","彼はどうやって損失を償うのだろうか。","How will he make good the loss?"
"罪","つみ","つみ","crime, sin","ビルはその罪を犯していなかった。","Bill did not commit the crime."
"続く","つづく","つづ","to continue, to last","どれくらいこの寒い天気は続きますか。","How long will this cold weather go on?"
"勤め","つとめ","つと","service, duty","お勤めはどちらですか。","Who do you work for?"
"刑期","けいき","けい.き","prison term","彼は１０年の刑期を務めた。","He served a ten-year prison term."
"募る","つのる","つの","to become stronger, to grow in intensity","世界の航空産業は墜落事故についての懸念を募らせている。","The world's aviation industry is growing increasingly worried about crashes."
"出資","しゅっし","しゅっ.し","investment, contribution","私達は同社に５０％出資している。","We have a 50% interest in the company."
"無罪","むざい","む.ざい","innocence, being not guilty","われわれは彼が無罪であると考えている。","We hold that he is not guilty."
"釣り","つり","つ","fishing, angling","あなたは釣りに行きたがっている。","You are dying to go fishing."
"行く","いく","い","to go, to move (towards)","お母さん、泳ぎに行ってもいい？","Can I go swimming, Mother?"
"手紙","てがみ","て.がみ","letter, note","ここにあなたあての手紙が何通かあります。","Here are some letters for you."
"感謝","かんしゃ","かん.しゃ","thanks, gratitude","ご協力に感謝します。","I appreciate your cooperation."
"適当","てきとう","てき.とう","suitable, proper","ＩＮＦ社の誰か最も適当な人を教えてください。","Can you please let me know the most suitable person in INF Co., Ltd?"
"悪い","わるい","わる","bad, poor","「顔色がわるいけど具合が悪いのかい」「そういうわけでもないよ」","'You look pale. Are you sick?' 'Not exactly.'"
"天井","てんじょう","てん.じょう","ceiling, ceiling price","ハエは天井を歩くことができる。","A fly can walk on the ceiling."
"到着","とうちゃく","とう.ちゃく","arrival","その列車は予定どおりに到着した。","The train arrived on schedule."
"時刻","じこく","じ.こく","time, (the) hour","そろそろ寝る時刻だ。","It's almost time to go to bed."
"遠回り","とおまわり","とお.まわ","detour, roundabout way","もし遠回りでなければポストに入れてください。","Please drop it in the mail if it's not out of your way."
"都会","とかい","と.かい","city, Tokyo Metropolitan Assembly","あの人達は都会の生活にあこがれている。","They are longing for city life."
"生活","せいかつ","せい.かつ","life, living","収入に応じた生活をするように。","You should try to live within your means."
"閉じる","とじる","と","to close (e.g. book, eyes, meeting, etc.), to shut","",""
"目","め","め","eye, eyeball","彼女はきれいな目をしている。","She has beautiful eyes."
"内容","ないよう","ない.よう","contents, content","仮の議事内容を送付しました。","Attached is the tentative agenda."
"詳しい","くわしい","くわ","detailed, full","もっと詳しい情報が欲しい。","I want more detailed information."
"懐かしい","なつかしい","なつ","dear (old), fondly remembered","懐かしい１２小節のブルース。","There go the twelve bars blues."
"載る","のる","の","to be placed on, to be set on","どの新聞にも彼の詳しい人相書きが載った。","A full description of him has been circulated in every newspaper."
"名簿","めいぼ","めい.ぼ","register of names, list of names","名簿に私の名前も追加してください。","Please add my name to the list."
"名詞","めいし","めい.し","noun","名詞を修飾するものは、形容詞または形容詞相当語句です。","Things that modify nouns are adjectives or equivalent to adjectives."
"動詞","どうし","どう.し","verb","この動詞の変化を言えますか。","Can you conjugate this verb?"
"形容詞","けいようし","けい.よう.し","adjective, i-adjective (in Japanese)","名詞を修飾するものは、形容詞または形容詞相当語句です。","Things that modify nouns are adjectives or equivalent to adjectives."
"接続詞","せつぞくし","せつ.ぞく.し","conjunction","関係代名詞は「接続詞+代名詞」のはたらきをしています。","Relative pronouns perform as 'conjunction + pronoun'."
"名","な","な","name, given name","私はいつまでも彼の名を覚えている。","I still bear his name in mind."
"背景","はいけい","はい.けい","background, scenery","彼は経済的背景がしっかりしている。","His economical backing is secure."
"色","いろ","いろ","colour, color","その色は彼女の髪の毛とよく合った。","The color went beautifully with her hair."
"発見","はっけん","はっ.けん","discovery, detection","これは驚くべき発見だ。","This is a surprising discovery."
"器","うつわ","うつわ","bowl, vessel","いくら器だけを日本一にしても、中身が三流やったらな〜んの意味もないんちゃうの？","The container may be the best in Japan, but if the contents are third class, then isn't it completely meaningless?"
"秋","あき","あき","autumn, fall","秋には木の葉が落ちる。","Leaves fall in the autumn."
"空","そら","そら","sky, the air","ワシが空を飛んでいる。","An eagle is flying in the sky."
"晴れ","はれ","は","clear weather, fine weather","その日は晴れだったので、私たちは泳ぎに行った。","It was a fine day, so we went swimming."
"反射","はんしゃ","はん.しゃ","reflection, reverberation","目が部屋の明かりを反射したときに彼女の目は輝いた。","Her eyes shone as they reflected the light of the room."
"光","ひかり","ひかり","light, illumination","光が世にやって来た。","Light has come into the world."
"彼女","かのじょ","かの.じょ","she, her","「あの音で考え事ができないわ」と、彼女はタイプライターを見つめながら言った。","'I can't think with that noise,' she said, staring at the typewriter."
"乗る","のる","の","to get on (train, plane, bus, ship, etc.), to get in","１１時の列車に乗るつもりです。","I'm catching the 11:00 train."
"人柄","ひとがら","ひと.がら","personality, character","彼女は魅力的な人柄である。","She has a magnetic personality."
"才能","さいのう","さい.のう","talent, ability","君には音楽の才能がある。","You have a gift for music."
"美術","びじゅつ","び.じゅつ","art, fine arts","トムは現代美術を見る目がある。","Tom has an eye for modern art."
"館","やかた","やかた","mansion, palace","タッソーろう人形館へ行く道を教えて頂けませんか。","Could you tell me the way to Madame Tussaud's?"
"近代","きんだい","きん.だい","present day, modern times","トムには近代絵画の鑑賞能力がある。","Tom appreciates modern art."
"便箋","びんせん","びん.せん","writing paper, stationery","その便せんには校章が打ち出しにされている。","The note is embossed with the school emblem."
"封筒","ふうとう","ふう.とう","envelope","だれがこの封筒を破って開けたのか。","Who has torn the envelope open?"
"不穏","ふおん","ふ.おん","disquieting, threatening","軍部に不穏な動きが見られる。","There seem to be dangerous developments in the military."
"不思議","ふしぎ","ふ.し.ぎ","wonderful, marvelous","この刀には不思議ないわれがある。","This sword has a strange history."
"舞台","ぶたい","ぶ.たい","stage (of a theatre, concert hall, etc.), (stage) performance","踊り手たちは舞台を横切って軽々と踊っていった。","The dancers tripped lightly across the stage."
"俳優","はいゆう","はい.ゆう","actor, actress","彼は俳優になるべきだった。","He ought to have been an actor."
"不合格","ふごうかく","ふ.ごう.かく","(examination) failure, rejection","５０人の応募者のうち２０人が不合格となった。","There were 20 failures among 50 applicants."
"文","ぶん","ぶん","sentence, composition","私の後について各文を復唱しなさい。","Repeat each sentence after me."
"単文","たんぶん","たん.ぶん","simple sentence","",""
"文化","ぶんか","ぶん.か","culture, civilization","両地域は宗教と文化が違っている。","The two regions differ in religion and culture."
"日本","にほん","に.ほん","Japan","日本は中国の東方にある。","Japan is to the east of China."
"文通","ぶんつう","ぶん.つう","correspondence, exchange of letters","私には文通する友人がいる。","I have a friend I correspond with."
"変更","へんこう","へん.こう","change, modification","その規則は絶対変更できない。","The rule is utterly inflexible."
"手順","てじゅん","て.じゅん","process, procedure","Windows XPにはＣＤを焼く機能があるそうですが、その手順を解説しているページを教えてください。","I hear that you can burn CDs with Windows XP; could you tell me a website that explains the procedures involved?"
"返答","へんとう","へん.とう","reply, answer","彼の返答は拒絶も同然だ。","His answer amounts to a refusal."
"赤い","あかい","あか","red, crimson","彼女は赤いスカートをはいていた。","She was wearing a red skirt."
"書","ふみ","ふみ","letter, note","世界的に過大に評価された中国書といえば、『孫子』ですかね。","When it comes to Chinese books that are overvalued worldwide I suppose it's Sun Tzu, isn't it?"
"便利","べんり","べん.り","convenient, handy","電話は便利なものである。","The telephone is a convenience."
"方向","ほうこう","ほう.こう","direction, orientation","チーズの棚はどちらの方向にありますか。","Which way is the cheese shelf?"
"町","まち","まち","town, block","町が一面すっぽり雪をかぶった。","Snow completely covered the town."
"小さい","ちいさい","ちい","small, little","その机はメグには小さすぎる。","The desk is too small for Meg."
"市","し","し","city, market","ワシントン市の友人宅に泊まります。","I'm staying at my friend's house in Washington City."
"松江","まつえ","まつ.え","Matsue (city in Shimane)","",""
"緑","みどり","みどり","green, greenery","あなたは緑と青を見分けることができますか。","Can you tell green from blue?"
"瞼","まぶた","まぶた","eyelid","彼は眠くて瞼が重かった。","His eyes were heavy with sleep."
"瞼板腺","けんばんせん","けん.ばん.せん","meibomian gland, tarsal gland","",""
"狒々","ひひ","ひ.ひ","baboon, lecher","",""
"霏々","ひひ","ひ.ひ","incessant falling (e.g. rain, snow), prolonged continuation (of something)","",""
"比","ひ","ひ","ratio, proportion","指標は前月比４％上昇した。","The index rose 4% from the preceding month."
"批評","ひひょう","ひ.ひょう","criticism, critique","音楽家は一般に批評に敏感である。","Musicians are usually sensitive to criticism."
"曽孫","ひまご","ひ.まご","great-grandchild","彼はひ孫を見るまで生きた。","He lived to see great-grandchildren."
"批評眼","ひひょうがん","ひ.ひょう.がん","critical eye","",""
"葉","は","は","leaf, blade (of grass)","こちらには大きなハスの葉があります。","We have very big lotus leaves."
"向かう","むかう","む","to face, to go towards","一日中コンピューターに向かってるから、結構電磁波浴びてる。","I sit in front of a computer screen all day, so I get pretty heavily bombarded by electro-magnetic waves."
"立ち向かう","たちむかう","た..む","to fight against, to oppose","彼女は自分の運命に立ち向かう覚悟ができていた。","She was ready to face her fate."
"結び","むすび","むす","ending, conclusion","",""
"硬い","かたい","かた","hard, solid","卵は硬くゆでてください。","Boil the eggs hard."
"名所","めいしょ","めい.しょ","famous place, noted place","スイスには名所が多い。","Switzerland boasts many sights."
"名物","めいぶつ","めい.ぶつ","famous product, special product","この地方の名物料理がありますか。","Do you have any regional dishes?"
"地域","ちいき","ち.いき","area, region","この地域は雨が続くでしょう。","This area will continue to be rainy."
"古史","こし","こ.し","ancient history","",""
"古伝","こでん","こ.でん","legend, tradition","",""
