Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"胃","い","い","stomach, Chinese 'stomach' constellation (one of the 28 mansions).","食物は胃の中で消化される。","Food is digested in the stomach.",""
"違い","ちがい","ちが","difference, distinction.","私は１分違いで列車に乗り遅れた。","I missed the train by a minute.","違反, 相違, 間違える"
"違反","いはん","い.はん","violation, offense.","相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている。","Despite their own scandals, the police continue to make arrests as though nothing had happened at all.","相違, 反対, 反抗, 反省, 反映, 間違える"
"医師","いし","い.し","doctor, physician.","あの紳士は医師にちがいない。","That gentleman must be a doctor.","医者, 医学, 医療, 教師, 技師, 講師, 歯医者, 看護師"
"医療","いりょう","い.りょう","medical treatment, medical care.","彼は医療に一生を捧げた。","He dedicated his life to medical work.","医者, 医学, 医師, 治療, 診療, 療養, 療法, 歯医者"
"一種","いっしゅ","いっ.しゅ","a kind, a sort.","イルカは哺乳類の一種です。","A dolphin is a kind of mammal.","一緒, 一番, 唯一, 種類, 人種, 品種, 一昨日"
"一瞬","いっしゅん","いっ.しゅん","instant, moment.","それは私にとってはらはらする一瞬だった。","It was a nervous moment for me.","一緒, 一番, 唯一, 瞬間, 瞬時, 一昨日, 瞬間移動"
"一層","いっそう","いっ.そう","even more, still more.","今まで以上にいっそう勉強に励みなさい。","You should study even more than before.","一緒, 一番, 唯一, 高層, 大層, 階層, 断層, 一昨日"
"一体","いったい","いっ.たい","(what) the heck, (why) in the world.","一体どこで彼に会ったんだ。","Where on earth did you meet him?","一緒, 一番, 唯一, 大体, 体裁, 全体, 一昨日"
"一致","いっち","いっ.ち","agreement, accord.","凶器に残された指紋は容疑者のものと一致する。","The fingerprints left on the weapon correspond with the suspect's.","一緒, 一番, 唯一, 合致, 一昨日, 致命的"
"一般","いっぱん","いっ.ぱん","general, universal.","その理論はまだ一般に認められていない。","The theory is not accepted yet.","一緒, 一番, 唯一, 全般, 一昨日"
"一方","いっぽう","いっ.ぽう","one (esp. of two), the other.","床は緑色に塗られていたが、一方壁は黄色だった。","The floor was painted green, while the walls were yellow.","一緒, 一番, 唯一, 仕方, 夕方, 両方, 一昨日"
"稲","いね","いね","rice plant (Oryza sativa), lightning.","稲は雨の多い地域で作られる。","Rice is grown in rainy regions.",""
"印","しるし","しるし","mark, sign.","発音できない語に印をつけなさい。","Mark the words which you cannot pronounce.",""
"印刷","いんさつ","いん.さつ","printing, printing press.","そのニュースは急いで印刷された。","The news was rushed into print.","目印, 印象, 矢印, 刷新, 増刷"
"印象","いんしょう","いん.しょう","impression, impressive.","彼女は気の利く女の子である印象を強く受けた。","She struck me as a tactful girl.","印刷, 目印, 矢印, 現象, 対象, 抽象"
"引退","いんたい","いん.たい","retirement, farewell performance.","彼は商売をたたんで引退した。","He sold his business and retired.","字引, 退院, 長引く, 引き出し, 引っ越す"
"宇宙","うちゅう","う.ちゅう","universe, cosmos.","宇宙には限りはない。","There is no limit to the universe.",""
"運転","うんてん","うん.てん","operation (of a machine), running.","現在５０台の機械が運転中です。","Fifty of the machines are running at the present time.","運動, 自転車"
"運動","うんどう","うん.どう","exercise, physical training.","その運動をして若返った。","The exercise took years off me.","運転, 動物, 運転手, 自動車"
"営業","えいぎょう","えい.ぎょう","business, trade.","営業の者と話をしてみました。","I talked with our sales people.","経営, 運営, 営利, 授業, 工業, 産業, 卒業"
"影響","えいきょう","えい.きょう","influence, effect.","多くのテレビ番組が子供たちに悪い影響を与えている。","Many TV programs have a bad influence on children.","撮影, 投影, 面影, 反響, 音響"
"栄養","えいよう","えい.よう","nutrition, nourishment.","この魚は安くてしかも栄養がある。","This fish is inexpensive but nourishing.","繁栄, 栄光, 教養, 休養, 養成, 見栄え"
"衛星","えいせい","えい.せい","(natural) satellite, moon.","衛星は今軌道に乗っている。","The satellite is now in orbit.","自衛, 防衛, 衛生, 火星, 星座, 土星, 自衛隊"
"円","えん","えん","yen (Japanese monetary unit), circle.","私はそのレコードを買うのに３０００円かかった。","It cost me 3,000 yen to buy the record.",""
"延期","えんき","えん.き","postponement, deferment.","私たちは会合を延期しなければならなかった。","We had to put off the meeting.","延長, 期間, 期待, 時期, 長期"
"援助","えんじょ","えん.じょ","assistance, aid.","サムは彼の援助を求める人なら誰でも援助する。","Sam helps whoever asks him to.","応援, 救援, 支援, 後援, 助手, 救助"
"演技","えんぎ","えん.ぎ","acting, performance.","ケイトが演技を磨くために注ぐ力を邪魔する物は、何もありませんでした。","Nothing could hinder Kate from using all her energy to polish her performances.","演説, 講演, 演奏, 演劇, 技術, 競技, 技師"
"演説","えんぜつ","えん.ぜつ","speech, address.","我々は彼に演説を頼んだ。","We called upon him for a speech.","演技, 講演, 演奏, 演劇, 小説, 説得, 説明"
"煙","けむり","けむり","smoke, fumes.","エレベーターから煙の臭いがします。","I smell smoke in the elevator.",""
"縁","ふち","ふち","rim, brim.","彼らは水瓶を縁まで一杯にした。","They filled the jug to the brim.",""
"汚染","おせん","お.せん","pollution, contamination.","汚染が地球を傷つけている。","Pollution is damaging our earth.","伝染"
"奥","おく","おく","inner part, interior.","彼は奥さんが怖かった。","He was afraid of his wife.",""
"応じる","おうじる","おう","to respond, to satisfy.","我々は彼らの要求に応じなければならなかった。","We had to yield to their request.","反応, 応援, 一応, 相応しい"
"王子","おうじ","おう.じ","prince, subordinate Kumano shrine.","王子は森で道に迷った。","The prince was lost in the woods.","女王, 王様, 王女, 帽子, 子供, 双子, 椅子"
"屋根","やね","や.ね","roof, attic.","彼は屋根の雪を取り除いた。","He cleared the roof of snow.","部屋, 屋上, 屋外, 床屋, 根拠, 根本, 羽根, 八百屋"
"温度","おんど","おん.ど","temperature, thermometer.","物質は温度によって形を変える。","Matter changes its form according to temperature.","気温, 体温, 温暖, 今度, 度々, 支度, 丁度"
"下り","くだり","くだ","down-train, train heading toward the ending point of its route.","ここの下りも手掛かりがないので危険だ。","The downclimb here is also dangerous as there are no handholds.","靴下, 下宿, 地下鉄"
"化学","かがく","か.がく","chemistry, chemical substances.","貴方は、化学を勉強しますか。","Do you study chemistry?","文化, 化粧, 変化, 学生, 学校, 大学, 小学校"
"何とか","なんとか","なん","something, something or other.","なんとかその機械を動かした。","He managed to run the machine.","何時, 如何にも"
"価格","かかく","か.かく","price, value.","価格は需要を反映する。","The price reflects the demand.","価値, 評価, 高価, 物価, 格好, 合格, 性格, 格別"
"価値","かち","か.ち","value, worth.","この本にはある程度の価値はあります。","This book has a certain value.","価格, 評価, 高価, 物価, 値段, 値引き"
"可","か","か","acceptable, satisfactory.","この試験は辞書持ち込み可です。","You can use a dictionary for this exam.",""
"可能","かのう","か.のう","possible, potential.","男の子へのしつけは可能である。","Boys can be trained to behave.","許可, 機能, 才能, 能力, 可愛い, 可哀想"
"家具","かぐ","か.ぐ","furniture, furniture store.","部屋には家具がない。","The room was bare of furniture.","家族, 家賃, 家庭, 道具, 玩具, 具合, 具体"
"家事","かじ","か.じ","housework, domestic chores.","私達は、家事を分担することで合意した。","We agreed to share the housework.","家族, 家賃, 家庭, 事故, 仕事, 見事, 事務所"
"家賃","やちん","や.ちん","rent, to let the rent fall into arrears.","家賃は月いくらですか。","How much is the rent per month?","家族, 家庭, 賃金, 運賃, 賃貸, 賃上げ"
"歌手","かしゅ","か.しゅ","singer.","その歌手は若者たちのアイドルだ。","That singer is a teenage idol.","歌声, 派手, 上手, 下手, 歌留多, 運転手"
"火災","かさい","か.さい","conflagration, fire.","火災の理由は何か。","What caused the fire?","花火, 火傷, 火事, 災難, 災害, 天災, 防災, 火曜日"
"課","か","か","lesson, section (in an organization).","私は１時間ではその課を全部は理解できない。","I can't absorb all of the lesson in an hour.",""
"過去","かこ","か.こ","the past, bygone days.","私はいつまでも過去にこだわらないようにと心がけている。","I try not to dwell on the past.","通過, 去年, 消去, 立ち去る, 通り過ぎる"
"我儘","わがまま","わが.まま","selfish, egoist.","あの子を甘やかしてはいけません。とてもわがままになりますよ。","You shouldn't indulge that child. It will make him very selfish.","我慢, 我々, 怪我, 自我, 我が儘, 勝手気儘"
"画家","がか","が.か","painter, artist.","その画家は、いわば永遠の少年だ。","The artist is eternally a boy.","映画, 計画, 企画, 漫画, 家族, 家賃, 家庭, 映画館"
"芽","め","め","sprout, shoot.","木々は芽を出し始めた。","The trees are beginning to bud.",""
"会員","かいいん","かい.いん","member, the membership.","会員は５人に減った。","The number of members decreased to five.","会社, 会議, 会場, 店員, 委員, 議員, 出会う, 公務員"
"会計","かいけい","かい.けい","accounting, finance.","会計係は会計が不足しているのがわかった。","The treasurer was short in his accounts.","会社, 会議, 会場, 時計, 計画, 計算, 出会う"
"会合","かいごう","かい.ごう","meeting, assembly.","これはとても大切な会合だ。","This is a very important meeting.","会社, 会議, 会場, 都合, 試合, 合併, 出会う, 間に合う"
"解決","かいけつ","かい.けつ","settlement, solution.","その問題はまだ解決されていない。","The problem is not settled yet.","解釈, 可決, 決定"
"解釈","かいしゃく","かい.しゃく","interpretation, explanation.","それは２通りに解釈できる。","That reads two different ways.","解決, 釈放, 釈迦, 会釈, 保釈"
"回復","かいふく","かい.ふく","restoration, recovery.","回復はほとんど不可能だった。","Recovery was almost impossible.","今回, 復習, 復活, 往復, 復讐"
"改善","かいぜん","かい.ぜん","betterment, improvement.","２国間の貿易上のアンバランスを改善しなければならない。","The trade imbalance between two nations should be improved.","改造, 改正, 親善, 善意, 善し悪し"
"海外","かいがい","かい.がい","foreign, abroad.","君はどれくらいよく海外に行きますか。","How often do you go abroad?","海岸, 海洋, 外国, 外科, 海水浴"
"絵画","かいが","かい.が","painting, picture.","その絵画を見たらおもしろかった。","I found the picture interesting.","油絵, 絵本, 映画, 計画, 企画, 漫画, 絵の具, 映画館"
"開始","かいし","かい.し","start, commencement.","何時に搭乗開始ですか。","What time does boarding begin?","開放, 原始, 始終"
"外交","がいこう","がい.こう","diplomacy, selling (e.g. door-to-door).","英語は外交や観光事業に有効である。","English is useful in diplomacy and tourism.","外国, 外科, 交番, 交差点"
"拡大","かくだい","かく.だい","expansion, extension.","今年は事業が５０％拡大した。","The business has expanded by 50% this year.","拡張, 拡充, 軍拡, 拡散, 大学, 大勢, 大人, 大使館, 大好き"
"確実","かくじつ","かく.じつ","certain, sure.","これは遅いけど確実な方法だ。","This is a slow but certain way.","確認, 明確, 実験, 現実"
"確認","かくにん","かく.にん","confirmation, verification.","予約は確認されています。","I have a confirmed reservation.","確実, 明確, 承認, 公認, 認識"
"覚悟","かくご","かく.ご","readiness, (mental) preparedness.","兵士たちは故国のために死ぬ覚悟が出来ていた。","The soldiers were ready to die for their country.","感覚, 大悟, 目覚まし, 悟りが早い"
"学者","がくしゃ","がく.しゃ","scholar, academic.","彼は立派な学者になるだろう。","He will be a wonderful scholar.","学生, 学校, 大学, 医者, 患者, 悪者, 小学校, 歯医者"
"学習","がくしゅう","がく.しゅう","learning, study.","これは生物の学習法としてはあまりよくないと思う。","I don't think this is a good approach to biology.","学生, 学校, 大学, 練習, 習慣, 予習, 復習, 小学校"
"額","がく","がく","(picture) frame, framed picture.","ボブは装飾された額にその肖像画を収めたけれど、上下さかさまだった。","Bob mounted the portrait in a fancy frame, but it was upside down.",""
"活動","かつどう","かつ.どう","activity (of a person, organization, animal, volcano, etc.), action.","テレビを見ることは受動的活動である。","Watching TV is a passive activity.","生活, 活気, 活発, 活用, 動物, 自動車"
"活用","かつよう","かつ.よう","practical use, application.","政治家として、彼は、演技のうまさを目一杯活用している。","As a politician, he makes utmost use of his acting ability.","生活, 活気, 活動, 活発, 用意, 利用, 用事"
"株","かぶ","かぶ","stock, share.","彼は大金を株に投資した。","He invested a lot of money in stocks.",""
"完成","かんせい","かん.せい","completion, perfection.","新しい鉄道はまだ完成していない。","The new railway is not completed yet.","完全, 完了, 完璧, 構成, 賛成, 成功, 成人, 不完全"
"完全","かんぜん","かん.ぜん","perfect, complete.","そして書かれていることはすべて完全にはっきりと書かれている。","And then everything that was written was completely clear.","完成, 完了, 完璧, 全部, 安全"
"患者","かんじゃ","かん.じゃ","patient, to admit a patient.","私はあなたの第一号の患者になるわ。","I'll be your first patient.","疾患, 患部, 急患, 医者, 悪者, 歯医者"
"感じ","かんじ","かん","feeling, sense.","その部屋は居心地の良い感じがした。","The room had a nice cozy feel.","感覚, 感謝, 感情, 感動"
"感覚","かんかく","かん.かく","sense, sensation.","私は指に感覚が無かった。","I had no feeling in my fingers.","感謝, 感情, 感動, 覚悟, 目覚まし"
"感謝","かんしゃ","かん.しゃ","thanks, gratitude.","ご協力に感謝します。","I appreciate your cooperation.","感覚, 感情, 感動, 月謝, 謝罪, 謝礼"
"感情","かんじょう","かん.じょう","emotion, feeling.","トムは自分の感情をぐっと抑えた。","Tom got a grip on his emotions.","感覚, 感謝, 感動, 事情, 情報, 情け深い"
"感動","かんどう","かん.どう","being deeply moved emotionally, excitement.","その小説を読んで深く感動した。","I was deeply moved by that novel.","感覚, 感謝, 感情, 動物, 自動車"
"歓迎","かんげい","かん.げい","welcome, (warm) reception.","あなたはうちのクラスで歓迎されています。","You are welcomed in our class.","歓声, 歓喜, 歓楽街, 出迎え"
"汗","あせ","あせ","sweat, perspiration.","額の汗をふきなさい。","Wipe the sweat from your brow.",""
"環境","かんきょう","かん.きょう","environment, surroundings.","私たちが環境面の問題を耳にしないで過ぎる日は１日とてない。","Not a day goes by without our hearing of an environmental problem.","循環, 一環, 国境, 境界, 境遇, 悪循環"
"監督","かんとく","かん.とく","supervision, control.","代表取締役は取締役の職務の執行を監督するものだ。","The Representative Director supervises Directors' performance of duties.","監視, 監禁, 監査, 監察, 督促, 総督, 提督"
"管理","かんり","かん.り","control, management (e.g. of a business).","彼に財産管理を任せた。","I entrusted my property to him.","血管, 保管, 管轄, 料理, 無理, 理由, 地理"
"缶","かん","かん","can, tin.","この缶にはおよそ４ガロン入る。","This can holds about 4 gallons.",""
"観客","かんきゃく","かん.きゃく","spectator, audience.","観客は彼のホームランに興奮した。","His home run excited the crowd.","観光, 観察, 観測, 観念, 旅客, 客観, 乗客"
"観光","かんこう","かん.こう","sightseeing, tourism.","観光ガイドは雇えますか。","Is there a tour guide available?","観客, 観察, 観測, 観念, 光景, 日光"
"観察","かんさつ","かん.さつ","observation, survey.","科学は観察に基づいている。","Science rests upon observation.","観客, 観光, 観測, 観念, 警察, 診察, 視察"
"間違い","まちがい","ま.ちが","mistake, error.","この本は間違いだらけだ。","This book is full of mistakes.","昼間, 時間, 人間, 世間, 違反, 相違, 間違える"
"関心","かんしん","かん.しん","concern, interest.","私は美術に非常な関心を抱いています。","I am deeply interested in art.","玄関, 関係, 関連, 安心, 用心, 心地"
"関連","かんれん","かん.れん","relation, connection.","この事実はお互いに関連し合っている。","These facts are mutually related.","玄関, 関係, 関心, 連絡"
"岸","きし","きし","bank, coast.","彼らはその船を岸にあげた。","They drew the boat on the beach.",""
"岩","いわ","いわ","rock, boulder.","この岩は何に似ていますか。","What does this rock look like?",""
"願い","ねがい","ねが","desire, wish.","私の願いはパリで絵の勉強をすることです。","My wish is to study painting in Paris.","願書, 念願"
"企業","きぎょう","き.ぎょう","enterprise, business.","アメリカ企業のトップは日本企業のトップに比べ何倍もの報酬をもらっている。","CEO's of American corporations are paid several times their Japanese counterparts.","企画, 授業, 工業, 産業, 卒業, 営業"
"基本","きほん","き.ほん","basics, fundamentals.","「これは・・・」「軍手とスコップ。園芸部基本道具のひとつだよ」","This is ... Working glove and trowel. One of a gardening club's basic tools.","基礎, 基地, 基準, 本当, 日本, 本棚, 根本"
"希望","きぼう","き.ぼう","hope, wish.","これが彼のたった一つの希望であった。","This was his one and only hope.","希少, 希薄, 古希, 希代, 失望, 望遠鏡"
"旗","はた","はた","flag, pataka (banner).","彼は旗を上下に動かした。","He moved the flags up and down.",""
"既に","すでに","すで","already, previously.","バス停に着いた時、バスはすでに出ていた。","The bus had already left when I got to the bus stop.","既成, 既婚, 既存, 既製"
"期間","きかん","き.かん","period, term.","治るのにどのくらいの期間がかかりますか。","How long will it take to get well?","延期, 期待, 時期, 長期, 昼間, 時間, 人間, 世間"
"期待","きたい","き.たい","expectation, anticipation.","とにかく万事うまくいくように期待しよう。","Let's hope for the best anyway.","延期, 期間, 時期, 長期, 招待, 待合室, 待ち合わせる"
"機械","きかい","き.かい","machine, mechanism.","僕は今日この機械を試験するつもりです。","I am going to put this machine to the test today.","機会, 機関, 機能, 飛行機, 器械体操"
"機関","きかん","き.かん","engine, agency.","この三つの機関とは国際通貨基金、国際復興開発銀行、関税・貿易一般協定である。","The three organizations are the International Monetary Fund, the International Bank for Reconstruction and Development, and the General Agreement on Tariffs and Trade.","機会, 機械, 機能, 玄関, 関係, 関心, 関連, 飛行機"
"機能","きのう","き.のう","function, facility.","こんな余計な機能なんでつけたんだろう。","What did they add this needless function for?","機会, 機械, 機関, 可能, 才能, 能力, 飛行機"
"気温","きおん","き.おん","(air) temperature, temperature sensitivity.","気温が下がると関節が痛むんだ。","My joints ache when it gets cold.","元気, 気配, 湯気, 気質, 天気, 温度, 体温, 温暖"
"気味","きみ","き.み","sensation, feeling.","その事件には何となく気味の悪いところがあった。","There was something weird about the incident.","元気, 気配, 湯気, 気質, 天気, 意味, 興味, 美味しい"
"記憶","きおく","き.おく","memory, recollection.","私はその日の記憶を呼び覚まそうとした。","I tried to call on my memories of that day.","日記, 記事, 記者, 憶測, 追憶, 憶見"
"記事","きじ","き.じ","article, news story.","ニュース記事を書くのが彼の仕事だ。","Writing news stories is his job.","日記, 記憶, 記者, 事故, 仕事, 見事, 事務所"
"記者","きしゃ","き.しゃ","reporter, journalist.","記者は話されたことはすべて書き留めた。","The reporter took down everything that was said.","日記, 記憶, 記事, 医者, 患者, 悪者, 歯医者"
"記念","きねん","き.ねん","commemoration, celebration.","今日の式典は、わが校の100周年を記念するものです。","Today's ceremony marks the 100th anniversary of our school.","日記, 記憶, 記事, 記者, 残念, 観念, 概念"
"記録","きろく","き.ろく","record, document.","今年になってやっとこれらの記録がみんなに利用できるようになった。","It was not until this year that these documents were made available to the public.","日記, 記憶, 記事, 記者, 録音, 登録, 目録, 録画"
"貴重","きちょう","き.ちょう","precious, valuable.","あれは貴重な経験だった。","That was a valuable experience.","貴族, 重視, 重大"
"鬼","おに","おに","ogre, demon.","私達は昔鬼ごっこのような遊びをよくした。","We used to play games like tag.",""
"疑問","ぎもん","ぎ.もん","doubt, question.","何か疑問があったら彼にお尋ねください。","Ask him if you have any doubt.","懐疑, 質問, 問題, 容疑者, 問い合わせ"
"義務","ぎむ","ぎ.む","duty, obligation.","このような義務があるなんて知らなかった。","I never knew about such a duty.","講義, 主義, 意義, 正義, 公務員, 事務所"
"議員","ぎいん","ぎ.いん","member of an assembly, member of the Diet.","その議員は政治資金に関する法案を提出したが通らなかった。","The member of the Diet brought in a bill on political contribution, but it didn't pass.","会議, 議会, 議長, 店員, 委員, 会員, 会議室, 公務員"
"議会","ぎかい","ぎ.かい","congress, parliament.","議会はさいごにけんかになった。","The argument ended in a fight.","会議, 議員, 議長, 会社, 会場, 会議室, 出会う"
"議長","ぎちょう","ぎ.ちょう","chair, chairman.","私たちはウッド氏を議長に任命した。","We appointed Mr Wood chairman.","会議, 議員, 議会, 課長, 長閑, 校長, 会議室, 長引く"
"議論","ぎろん","ぎ.ろん","argument, discussion.","その議論は穴だらけだ。","The argument is full of holes.","会議, 議員, 議会, 議長, 結論, 論文, 論争, 会議室"
"休暇","きゅうか","きゅう.か","holiday, vacation.","私は休暇で出かけていました。","I was out of town on vacation.","休憩, 休業, 余暇, 夏休み"
"休憩","きゅうけい","きゅう.けい","rest, break.","休憩してコーヒーを飲もう。","Let's take a break for coffee.","休暇, 休業, 夏休み"
"急激","きゅうげき","きゅう.げき","sudden, abrupt.","その党は急激にのびた。","The party gained ground rapidly.","特急, 急行, 刺激, 感激, 激励"
"急速","きゅうそく","きゅう.そく","rapid (e.g. progress), fast charge.","コンピューターは急速な進化を遂げた。","Computers have made rapid progress.","特急, 急行, 高速, 速度, 時速"
"球","きゅう","きゅう","sphere, globe.","彼の額には玉のような汗が浮かんでいた。","There were beads of sweat on his forehead.",""
"給料","きゅうりょう","きゅう.りょう","salary, wages.","彼の給料では裕福になれないだろう。","He won't get fat on his salary.","供給, 支給, 給与, 月給, 料理, 材料, 食料, 食料品"
"牛","うし","うし","cattle (Bos taurus), cow.","父は牧場を持っていて牛や馬を飼育している。","My father has a ranch and breeds cattle and horses.",""
"巨大","きょだい","きょ.だい","huge, gigantic.","巨大なタンカーがついに今し方出港した。","The huge tanker has just left the dock.","巨額, 巨人, 巨匠, 巨体, 大学, 大勢, 大人, 大使館, 大好き"
"許す","ゆるす","ゆる","to permit, to allow.","ＤＮＡのサンプルを貯える事は許されるべきではない。","It shouldn't be permitted to store samples of DNA.","許可, 免許, 特許, 許容"
"許可","きょか","きょ.か","permission, approval.","ここでの喫煙は許可されていません。","Smoking is not permitted here.","免許, 特許, 許容, 可能, 可愛い, 可哀想"
"供給","きょうきゅう","きょう.きゅう","supply, provision.","水は外側から供給された。","Water was supplied from outside.","子供, 提供, 供述, 給料, 支給, 給与, 月給, 子供たち"
"競技","きょうぎ","きょう.ぎ","game, match.","あなたは競技に参加しましたか。","Did you take part in the game?","競争, 競馬, 技術, 演技, 技師, 競り合う"
"共に","ともに","とも","together, jointly.","私と共に来てくれませんか。","Would you mind coming with me?","共通, 共同, 公共, 共働き"
"共通","きょうつう","きょう.つう","common, shared.","私と彼は共通することが多い。","I have much in common with him.","共同, 公共, 交通, 融通, 共働き, 大通り"
"境","さかい","さかい","border, boundary.","彼は生死の境をさ迷った。","He hovered between life and death.",""
"強盗","ごうとう","ごう.とう","robber, mugger.","父は強盗と取っ組み合いをした。","My father struggled with the robber.","勉強, 盗難, 窃盗, 力強い"
"強力","きょうりょく","きょう.りょく","powerful, strong.","日本の軍隊は非常に強力だった。","Japan's army was very powerful.","勉強, 強盗, 努力, 能力, 力強い"
"恐怖","きょうふ","きょう.ふ","fear, dread.","私は恐怖で気も狂わんばかりだった。","I almost went crazy with fear.","恐縮, 畏怖"
"教科書","きょうかしょ","きょう.か.しょ","textbook, coursebook.","教科書はどうしたらいいんでしょうか。","Where do we get the textbooks?","教室, 教育, 科学, 科目, 外科, 理科, 葉書, 書留, 図書館, 下書き"
"教師","きょうし","きょう.し","teacher, instructor.","私の兄は教師です。","My older brother is a teacher.","教室, 教育, 医師, 技師, 講師, 看護師"
"教授","きょうじゅ","きょう.じゅ","professor, teaching.","一人の教授がささやいた。","One of his colleagues whispered.","教室, 教育, 授業, 授与"
"胸","むね","むね","chest, breast.","その亡命者は故国への思いに胸を焦がした。","The exile yearned for his home.",""
"玉","たま","たま","ball, sphere.","彼の額には玉のような汗が浮かんでいた。","There were beads of sweat on his forehead.",""
"禁煙","きんえん","きん.えん","abstaining from smoking, quitting smoking.","いつ禁煙のサインを消すのでしょうね。","When will they turn off the no-smoking sign?","禁止, 禁物, 煙突"
"禁止","きんし","きん.し","prohibition, inhibition.","喫煙は絶対禁止。","Smoking is strictly prohibited.","禁煙, 禁物, 立ち止まる"
"筋","すじ","すじ","muscle, tendon.","きみが言っていることは筋があまりよく通っていない。","There isn't much logic in what you're saying.",""
"筋肉","きんにく","きん.にく","muscle, sinewy meat.","水泳は筋肉を発達させる。","Swimming develops our muscles.","粗筋, 筋道, 鉄筋, 牛肉, 豚肉, 鶏肉"
"緊張","きんちょう","きん.ちょう","tension, strain.","「僕、飛行機に乗るのはこれが初めてなんだ。緊張するよ」と博がいいます。","This is my first flight. I'm nervous, says Hiroshi.","緊急, 緊迫, 緊密, 緊縮, 欲張り, 引っ張る, 張り切る"
"金額","きんがく","きん.がく","amount of money, sum.","飲み代として使った金額は総計７千ドルだった。","The total bill for drinks came up to 7000 dollars.","針金, 賃金, 金槌, 差額, 巨額, 金曜日"
"金銭","きんせん","きん.せん","money, cash.","金銭のことで彼と争いになった。","I had a quarrel with him over money.","針金, 賃金, 金槌, 銭湯, 小銭, 金曜日, 釣り銭"
"金属","きんぞく","きん.ぞく","metal, metallic sound.","鉄は最も有用な金属です。","Iron is the most useful metal.","針金, 賃金, 金槌, 付属, 所属, 従属, 金曜日"
"金融","きんゆう","きん.ゆう","finance, financing.","金融引き締め政策が実施されている。","A fiscal tightening policy is being enacted.","針金, 賃金, 金槌, 融通, 融資, 金曜日"
"金曜","きんよう","きん.よう","Friday.","彼は月曜から金曜まで働く。","He works from Monday to Friday.","針金, 賃金, 金槌, 火曜日, 月曜日, 水曜日, 土曜日"
"苦手","にがて","にが.て","poor (at), weak (in).","私は数学は苦手だ。","I am out of my element in math.","苦労, 苦痛, 派手, 上手, 下手, 運転手, 見苦しい"
"苦労","くろう","く.ろう","trouble, hardship.","せっかくの苦労もあだになった。","All my pains went for nothing.","苦痛, 労働, 疲労, 過労, 見苦しい"
"空","そら","そら","sky, the air.","ワシが空を飛んでいる。","An eagle is flying in the sky.",""
"訓練","くんれん","くん.れん","training, drill.","私たちは昨日防火訓練をした。","We had a fire drill yesterday.","教訓, 特訓, 練習, 未練, 洗練, 訓読み"
"軍","ぐん","ぐん","army, armed forces.","我が軍はその王国を襲った。","Our army attacked the kingdom.",""
"軍隊","ぐんたい","ぐん.たい","armed forces, military.","その軍隊は十分な武器を持っていた。","The troops had plenty of arms.","軍事, 軍備, 軍艦, 兵隊, 艦隊, 自衛隊, 機動隊"
