Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"解散","かいさん","かい.さん","breaking up (a meeting, gathering, etc.), dispersal (e.g. of a crowd).","警察は、群衆を解散させた。","The police broke up the crowd.","解決, 解釈, 散歩, 分散"
"解説","かいせつ","かい.せつ","explanation, commentary.","彼の解説がわかった人はほとんどいなかった。","Few people understood his comment.","解決, 解釈, 小説, 説得, 演説, 説明"
"解放","かいほう","かい.ほう","release, unleashing.","人質は解放されるだろう。","The hostages will be released.","解決, 解釈, 放送, 開放"
"回数","かいすう","かい.すう","number of times, frequency.","いつもより尿の回数が多いです。","I urinate more often than usual.","回復, 今回, 数学, 数字"
"回転","かいてん","かい.てん","rotation, revolution.","こまはぐるぐる回転した。","The top went around and around.","回復, 今回, 運転, 自転車, 運転手"
"回答","かいとう","かい.とう","reply, answer.","これらの回答は、原因と結果をはき違えている。","These answers confuse cause with consequence.","回復, 今回, 答案, 問答"
"改造","かいぞう","かい.ぞう","remodeling, remodelling.","地下室を仕事場に改造した。","The basement has been made over into a workshop.","改善, 改正, 製造, 荷造り"
"開放","かいほう","かい.ほう","opening (a door, window, etc.), leaving open.","この庭園は一般に開放されています。","This garden is open to the public.","開始, 放送, 解放"
"外科","げか","げ.か","surgery (branch of medicine), department of surgery.","これらの患者には外科的な処置だけでは十分とは言い難い。","For these patients, surgical treatment is far from being satisfactory.","外国, 科学, 科目, 理科, 教科書"
"外部","がいぶ","がい.ぶ","outside (e.g. of a building), exterior.","秘密が外部に漏れた。","The secret leaked out.","外国, 外科, 全部, 部屋, 部長, 部分, 大部分"
"学会","がっかい","がっ.かい","learned society, scientific society.","盛田教授は化学学会で司会を務めた。","Professor Morita presided at a meeting of the Chemical Society.","学生, 学校, 大学, 会社, 会議, 会場, 小学校, 出会う"
"楽器","がっき","がっ.き","musical instrument, musical instrument store.","楽器をなにか演奏しますか。","Do you play a musical instrument?","音楽, 楽譜, 器械, 武器, 器用"
"活躍","かつやく","かつ.やく","activity (esp. energetic or successful), great efforts.","仕事でご活躍ですね。","I see you're doing very well in your business.","生活, 活気, 活動, 活発, 活用, 飛躍, 躍起, 跳躍"
"感想","かんそう","かん.そう","impressions, thoughts.","ゲームについてのご感想は？","How did you feel about the game?","感覚, 感謝, 感情, 感動, 愛想, 思想, 想像, 理想, 可哀想"
"看板","かんばん","かん.ばん","signboard, sign.","日光で看板の文字があせた。","The sun had faded the lettering on the sign.","看病, 看護, 黒板, 看護師, 看護婦, 掲示板"
"観測","かんそく","かん.そく","observation, survey.","ジャンスキーが観測したのは銀河系の中心核からの波長14.6mの電波であった。","What Jansky had observed was the 14.6m wavelength radio wave from the Milky Way's core.","観客, 観光, 観察, 観念, 予測, 測定, 測量"
"間も無く","まもなく","ま..な","soon, shortly.","まもなくお会いできることを楽しみにしています。","I am looking forward to seeing you soon.","昼間, 時間, 人間, 世間, 無理, 無事, 無料, ご無沙汰"
"基礎","きそ","き.そ","foundation, basis.","その考えが彼の理論の基礎となっている。","The idea underlies his theory.","基本, 基地, 基準, 礎石"
"基地","きち","き.ち","base (military, expedition, etc.), madness.","この近くに軍の基地がある。","There is a military base near here.","基本, 基礎, 基準, 地震, 地図, 生地, 地理, 地下鉄"
"期限","きげん","き.げん","term, period.","すべてのレポートは期限を守って提出されなければならない。","All essays must be handed in on time.","延期, 期間, 期待, 時期, 長期, 限界, 制限, 限度"
"気配","けはい","け.はい","indication, sign.","秋の気配が感じられた。","There was a hint of fall in the air.","元気, 湯気, 気質, 天気, 支配, 心配, 配達, 分配"
"競馬","けいば","けい.ば","horse racing, traditional horse-racing.","ダービー競馬の日は２週間後の水曜日だ。","Derby Day is Wednesday fortnight.","競争, 競技, 馬鹿, 出馬, 競り合う, 馬鹿らしい"
"強引","ごういん","ごう.いん","overbearing, coercive.","うちの一番腕利きの交渉者はいつも強引に有利な取り引きをする。","Our best negotiators always drive a hard bargain.","勉強, 強盗, 引退, 字引, 力強い, 長引く, 引き出し, 引っ越す"
"強化","きょうか","きょう.か","strengthening, intensifying.","我々は組織を強化しなくてはならん。","We must beef up our organization.","勉強, 強盗, 文化, 化粧, 化学, 変化, 力強い"
"強気","つよき","つよ.き","confident, assured.","あまり強気になるなよ。","Don't press your luck, kid.","勉強, 強盗, 元気, 気配, 湯気, 気質, 天気, 力強い"
"教養","きょうよう","きょう.よう","(understanding or appreciation of) culture, (one's) education.","その医者は教養のある人だ。","The doctor is a man of culture.","教室, 教育, 栄養, 休養, 養成"
"努める","つとめる","つと","to endeavor (to do), to endeavour.","お手伝いさんたちは主人の命令を実行しようと努めた。","The servants tried to carry out their master's order.","努力"
"琴","こと","こと","koto (13-stringed Japanese zither), stringed instrument.","彼女は琴を弾くことがとても好きだ。","She likes to play the koto very much.",""
"区域","くいき","く.いき","area, zone.","駐車禁止区域に車を止めてはいけません。","You must not park your car in a no parking zone.","区別, 地区, 区分, 地域, 流域, 領域, 海域, 区切る"
"苦情","くじょう","く.じょう","complaint, troubles.","その顧客の苦情は微妙な問題に関わるものだった。","The customer's complaint was about a sensitive issue.","苦労, 苦痛, 感情, 事情, 情報, 見苦しい, 情け深い"
"空中","くうちゅう","くう.ちゅう","sky, air.","煙は空中へと舞い上がった。","The smoke ascended into the air.","空気, 背中, 年中, 途中, 中学校, 真ん中"
"形式","けいしき","けい.しき","form (as opposed to substance), format.","彼はそれを小説の形式で表した。","He expressed it in the form of fiction.","人形, 図形, 正式, 公式, 儀式, 長方形"
"継続","けいぞく","けい.ぞく","continuation, continuance.","交渉を継続することで合意しました。","We have agreed to continue the negotiations.","中継, 連続, 相続, 受け継ぐ, 引き継ぐ"
"芸能","げいのう","げい.のう","public entertainment, performing arts.","今日お気に入りの芸能人が出てるミュージカルを見に行った。彼は、今年の一押しだね。","I went to a musical with my favorite actor today. He's the one must-see for this year.","芸術, 園芸, 文芸, 工芸, 可能, 機能, 才能, 能力"
"血液","けつえき","けつ.えき","blood, blood test.","血液は体内を循環する。","Blood circulates through the body.","血管, 血圧, 輸血, 液体, 溶液"
"見学","けんがく","けん.がく","inspection, study by observation.","その実施見学は非常にためになった。","I found the field trip very educational.","意見, 見物, 学生, 学校, 大学, 見舞い, 小学校"
"見送る","みおくる","み.おく","to see (someone) off, to escort.","両親は空港まで私を見送ってくれた。","My parents came to the airport to see me off.","意見, 見物, 放送, 輸送, 郵送, 見舞い, 見送り"
"見舞う","みまう","み.ま","to visit and comfort or console, to go to see (e.g. someone in hospital).","彼は入院中の病気の友人を見舞った。","He visited a sick friend who was in the hospital.","意見, 見物, 舞台, 見舞い, 歌舞伎"
"原稿","げんこう","げん.こう","manuscript, copy.","この原稿は書き直したほうがいいな。","I'd better rewrite this paper.","原因, 原理, 投稿, 草稿"
"原理","げんり","げん.り","principle, theory.","誰もがその考えを原理的には認めるだろう。","Everyone will accept that idea in principle.","原因, 原稿, 料理, 無理, 理由, 地理, 管理"
"原料","げんりょう","げん.りょう","raw materials, ingredient.","日本はいろんな原料に乏しい。","Japan is lacking in raw materials.","原因, 原稿, 原理, 料理, 給料, 材料, 食料, 食料品"
"限度","げんど","げん.ど","limit, bounds.","物事には限度がある。","There is a limit to everything.","限界, 制限, 期限, 今度, 度々, 支度, 丁度"
"後輩","こうはい","こう.はい","junior (at work, school, etc.), younger people.","彼は私より３年後輩です。","He is my junior by three years.","午後, 後者, 先輩, 輩出, 年輩"
"御馳走様","ごちそうさま","ご.ち.そう.さま","thank you (for the meal), that was a delicious meal.","","","御中, 御飯, 防御, 逃走, 同様, 様々, 模様, 王様, 様子, 御願い, ご馳走, ご馳走様, 馳せ参じる, ご馳走様でした"
"交流","こうりゅう","こう.りゅう","exchange (e.g. cultural), interchange.","さらに、お年寄りが互いに交流し、アメリカの生活の中で何時までも積極的に参加していられるように、多くの団体が結成されている。","In addition many groups have been formed so that the elderly can socialize with one another and remain active participants in American life.","交番, 流行, 流石, 一流, 交差点"
"公式","こうしき","こう.しき","official, formal.","ここでの事故の数が公式に記録されているものの２倍あると仮定してみよう。","Let us suppose that the number of incidents is twice that of those officially recorded.","公園, 公平, 正式, 形式, 儀式, 公務員"
"公正","こうせい","こう.せい","justice, fairness.","王は自分の王国を公正に治めた。","The king ruled his kingdom justly.","公園, 公平, 公式, 修正, 正午, 正直, 公務員"
"公表","こうひょう","こう.ひょう","official announcement, proclamation.","彼はそれを公表すると脅した。","He threatened to make it public.","公園, 公平, 公式, 代表, 発表, 表現, 公務員"
"工事","こうじ","こう.じ","construction work, under construction.","その工事は住民からの強い反対にもかかわらず、続けられた。","They carried on with the construction in the face of strong opposition from the residents.","工業, 工夫, 工場, 大工, 人工, 事故, 仕事, 見事, 事務所"
"工夫","くふう","く.ふう","devising (a way), contriving.","これは私が工夫した計画です。","This is a plan of my own devising.","工業, 工場, 大工, 人工, 夫人, 夫婦, 夫妻, 大丈夫"
"広場","ひろば","ひろ.ば","public square, square.","何千人もの人々が広場にひしめき合っていた。","Thousands of people were milling around in the square.","広告, 背広, 場所, 会場, 工場, 駐車場, 飛行場"
"校舎","こうしゃ","こう.しゃ","school building, schoolhouse.","３ヶ月すれば、私たちの新しい校舎が完成するでしょう。","It will be three months before our new school building is completed.","学校, 校長, 高校, 田舎, 宿舎, 庁舎, 高校生, 小学校"
"構造","こうぞう","こう.ぞう","structure, construction.","この増加に加えて、世界の経済構造の変化があった。","Along with this increase, there has been a change in the world's economic organization.","結構, 構成, 機構, 製造, 改造, 荷造り"
"行事","ぎょうじ","ぎょう.じ","event, function.","メグは学校のいろいろな行事に参加する。","Meg attends many school affairs.","銀行, 行儀, 事故, 仕事, 見事, 事務所"
"講師","こうし","こう.し","speaker, lecturer.","講師は本題から脱線してしまった。","The speaker wandered away from the subject.","講義, 講堂, 講演, 休講, 医師, 教師, 技師, 看護師"
"項目","こうもく","こう.もく","item, heading.","これは何の項目に入るか。","What heading does this come under?","要項, 事項, 条項, 注目, 面目, 駄目, 目的, 禁止事項"
"高級","こうきゅう","こう.きゅう","high-class, high-grade.","高級な品物を買う事は、結局は損にならない。","It pays in the long run to buy goods of high quality.","高校, 残高, 上級, 初級, 学級, 高校生"
"高度","こうど","こう.ど","altitude, height.","これより次第に高度を下げてまいります。","We are beginning our descent.","高校, 残高, 今度, 度々, 支度, 丁度, 高校生"
"高等","こうとう","こう.とう","high class, high grade.","人類は高等哺乳動物である。","Human beings are the higher mammals.","高校, 残高, 平等, 上等, 高校生"
"合同","ごうどう","ごう.どう","combination, union.","","","都合, 試合, 合併, 同時, 同様, 共同, 同一, 間に合う"
"国籍","こくせき","こく.せき","nationality, citizenship.","我々の真の国籍は人類である。","Our true nationality is mankind.","外国, 国家, 天国, 書籍, 戸籍, 在籍, 入籍"
"国立","こくりつ","こく.りつ","national, founded and run by the central government.","老人のための国立の病院がもっとあってしかるべきだ。","There should be more national hospitals for old people.","外国, 国家, 天国, 独立, 立派, 立場, 目立つ"
"作者","さくしゃ","さく.しゃ","creator (of a work), author.","その小説の作者は誰でしょうか。","Who is the author of the novel?","作文, 作業, 作家, 作品, 医者, 患者, 悪者, 歯医者"
"撮影","さつえい","さつ.えい","photography (still or motion), photographing.","私は写真撮影に興味を持っている。","I have an interest in photography.","特撮, 影響, 投影, 面影"
"産地","さんち","さん.ち","producing area, place of origin.","","","産業, 生産, 土産, 地震, 地図, 生地, 地理, お土産, 地下鉄"
"司会","しかい","し.かい","leading a meeting, presiding over a meeting.","その会議は森首相が司会をした。","The conference was presided over by Mr Mori.","司法, 上司, 寿司, 会社, 会議, 会場, 出会う"
"姿勢","しせい","し.せい","posture, pose.","彼はまっすぐな姿勢で立っていた。","He stood in an upright position.","容姿, 雄姿, 大勢, 情勢, 勢力, 後ろ姿"
"指定","してい","し.てい","designation, specification.","切符を申し込まれる際は代替日もご指定ください。","When applying for tickets, please give alternative dates.","指導, 指図, 予定, 勘定, 安定, 定規, 目指す"
"死体","したい","し.たい","dead body, corpse.","死体解剖の結果、絞殺と判明しました。","The postmortem showed that she had been strangled.","死亡, 必死, 死刑, 大体, 体裁, 一体, 全体"
"氏名","しめい","し.めい","(full) name, identity.","この封筒に住所・氏名を書きなさい。","Write your name and address on this envelope.","摂氏, 源氏, 氏族, 有名, 名前, 名字, 署名"
"私立","しりつ","し.りつ","private (establishment), private detective.","私立の学校はどういう感じですか。","How is it in a private school?","私鉄, 私用, 独立, 立派, 立場, 目立つ"
"資料","しりょう","し.りょう","material, materials.","新しい資料をお送りください。","Please send us more information.","資源, 資本, 資格, 資金, 料理, 給料, 材料, 食料, 食料品"
"児童","じどう","じ.どう","children, juvenile.","その学校の児童はみんなその新しい先生になついた。","Every child in the school took to the new teacher.","育児, 幼児, 乳児, 童話, 学童, 童謡, 童顔, 小児科"
"時速","じそく","じ.そく","speed (per hour).","この車は時速６０キロで走っている。","This car is going 60km an hour.","時間, 時々, 何時, 時計, 時代, 急速, 高速, 速度"
"執筆","しっぴつ","しっ.ぴつ","writing, authoring.","ホーキングは、その本の執筆を始めたとき、手で書くことがまったくできなかった。","When he started the book, Hawking was unable to write by hand at all.","執行, 固執, 執念, 鉛筆, 筆者, 随筆, 万年筆"
"実感","じっかん","じっ.かん","real feeling, actual feeling.","オーストラリアへ行って初めて、日本はなんと小さい国かと実感した。","I didn't realize till I visited Australia how small Japan really is.","確実, 実験, 現実, 感覚, 感謝, 感情, 感動"
"実績","じっせき","じっ.せき","achievements, actual results.","その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた。","The manner in which the new salesman made top sales level was an eye-opener to his supervisor.","確実, 実験, 現実, 成績, 功績, 業績, 紡績"
"実力","じつりょく","じつ.りょく","(real) ability, true strength.","けっきょく、実力が勝つ。","Real ability wins in the end.","確実, 実験, 現実, 強力, 努力, 能力, 力強い"
"主役","しゅやく","しゅ.やく","leading part, leading actor.","ケイトは映画で主役を演じる機会を与えられました。","Kate has been given an opportunity to play a major role in a movie.","家主, 主義, 地主, 役割, 役者, ご主人, 役に立つ"
"手前","てまえ","て.まえ","before oneself, in front of one.","手前のガラス張りの建物は薔薇園なんです。温室になっていて、いつも薔薇を観賞できるようになってるんですよ。","The glass fronted building before you is the rose garden. It's a greenhouse so you will always be able to appreciate the roses.","派手, 上手, 下手, 午前, 名前, 以前, 前進, 運転手"
"受験","じゅけん","じゅ.けん","taking an examination (esp. for entrance to a school or university), student preparing for or taking examinations (usu. entrance exams).","受験したが失敗するだけだった。","I sat the exam only to fail it.","受付, 受信, 試験, 経験, 実験, 体験, 受話器"
"周辺","しゅうへん","しゅう.へん","circumference, outskirts.","北極圏とは北極周辺の地域の事である。","The Arctic is the area round the North Pole.","周囲, 円周, 周期, 浜辺"
"就任","しゅうにん","しゅう.にん","assumption (of office), taking up (a post).","彼は大統領に就任した。","He was inaugurated as President.","就職, 就業, 就活, 責任, 主任"
"終了","しゅうりょう","しゅう.りょう","end, close.","トムは勤務終了時間を超えて働くと、５割アップの時給をもらっていた。","Tom got time and a half when he worked beyond his usual quitting time.","最終, 始終, 完了, 了解, 了承, 修了"
"集会","しゅうかい","しゅう.かい","meeting, assembly.","集会は７時に解散した。","The meeting broke up at seven.","集団, 集中, 会社, 会議, 会場, 出会う"
"重量","じゅうりょう","じゅう.りょう","weight, heavyweight class.","体積が大きいからといって常に重量も重いとは限らない。","Great bulk does not always mean great weight.","重視, 貴重, 重大, 測量, 分量"
"縮小","しゅくしょう","しゅく.しょう","reduction, curtailment.","縮小コピーを撮ってくるよ。","I'm going to make reduced copies.","圧縮, 恐縮, 小鳥, 小屋, 小説, 小学校"
"出張","しゅっちょう","しゅっ.ちょう","business trip, official trip.","ロス出張をキャンセルしようかな。","I should cancel my L.A. trip.","出口, 提出, 出身, 緊張, 欲張り, 引き出し, 引っ張る, 張り切る"
"書店","しょてん","しょ.てん","bookshop, bookstore.","書店で手に入ります。","You can get it at a bookstore.","葉書, 書留, 店員, 支店, 図書館, 下書き, 喫茶店"
"書道","しょどう","しょ.どう","calligraphy (esp. Asian calligraphy based on Chinese characters), calligrapher.","書道を習うのは楽しい。","Learning calligraphy is fun.","葉書, 書留, 柔道, 水道, 片道, 道具, 図書館, 下書き"
"勝負","しょうぶ","しょう.ぶ","victory or defeat, match.","ゆっくりでも着実にやってゆけば勝負には勝つ。","Slow and steady wins the race.","優勝, 負担, 背負う"
"商社","しょうしゃ","しょう.しゃ","trading company, trading company employee.","ニューヨークにはたくさんの商社がある。","There are many commercial firms in New York.","商売, 商品, 商人, 商店, 会社, 神社, 社会, 社長, 新聞社"
"商店","しょうてん","しょう.てん","shop, store.","この地域は商店が多い。","There are many stores in this area.","商売, 商品, 商人, 商社, 店員, 支店, 書店, 喫茶店"
"将棋","しょうぎ","しょう.ぎ","shogi, Japanese chess.","いつ来てくださっても、将棋の相手をしますよ。","No matter when you come, I'll play a game of Japanese chess with you.","将来, 将軍, 中将, 棋士, 棋聖, 棋院, 棋譜"
"小学生","しょうがくせい","しょう.がく.せい","elementary school student, primary school student.","彼らはそのころ小学生でした。","They were school children then.","小鳥, 小屋, 小説, 学校, 大学, 小学校, 誕生日, 一生懸命"
"賞金","しょうきん","しょう.きん","prize money, monetary award.","あなたはシートベルトをちゃんと使用していたとして、カリフォルニア州交通安全大会において賞金５０００ドルを獲得されました。","You have just won a prize of $5000 in a California state safety competition for proper use of your seatbelt.","鑑賞, 賞品, 入賞, 針金, 賃金, 金槌, 金曜日"
"上下","じょうげ","じょう.げ","top and bottom, high and low.","彼は旗を上下に動かした。","He moved the flags up and down.","上手, 上着, 靴下, 下宿, 地下鉄, 申し上げる"
"新幹線","しんかんせん","しん.かん.せん","Shinkansen, bullet train.","新しい新幹線の速いこと！","How fast the new Shinkansen goes!","新聞, 新鮮, 幹部, 幹事, 線路, 直線, 新聞社, 地平線"
"申請","しんせい","しん.せい","application, request.","もうパスポートを申請しましたか。","Have you applied for a passport yet?","申告, 請求, 要請, 請願, 申し訳, 強請る, 申し上げる"
"神話","しんわ","しん.わ","myth, mythology.","どの民族も独自の神話を持っている。","Every nation has its own myths.","神経, 神社, 精神, 神様, 電話, 会話, 話し合う"
"診断","しんだん","しん.だん","diagnosis, medical examination.","その女性は一人一人を注意深く診断している。","She'll diagnose each person carefully.","診察, 診療, 判断, 横断, 断定"
"推定","すいてい","すい.てい","presumption, assumption.","彼の死は事故だとする君の推定は間違っているようだ。","Your assumption that his death was an accident seems to be wrong.","推薦, 推進, 推理, 推測, 予定, 勘定, 安定, 定規"
"制作","せいさく","せい.さく","work (film, book), production.","彼の次の制作は非常に意欲的なミュージカルだった。","His next production was a very ambitious musical.","制限, 制度, 体制, 規制, 作文, 作業, 作家, 作品"
"姓","せい","せい","surname, family name.","あなたの姓はどう発音するのですか。","How do you pronounce your last name?",""
"性能","せいのう","せい.のう","ability, performance.","この車はあの車より性能がよい。","This car has a better performance than that one.","女性, 男性, 性格, 可能, 機能, 才能, 能力"
"成分","せいぶん","せい.ぶん","ingredient, component.","グリーンピースは鉄分が豊富で爪の色がよくなる成分が含まれている。","Green peas are high in iron and contain nutrients that improve the colour of fingernails.","完成, 構成, 賛成, 成功, 成人, 自分, 大分, 半分"
"成立","せいりつ","せい.りつ","formation, establishment.","新しい法が成立した。","A new law has come into existence.","完成, 構成, 賛成, 成功, 成人, 独立, 立派, 立場, 目立つ"
"整備","せいび","せい.び","maintenance, servicing.","彼は自分の車をよく整備している。","He maintains his car well.","整理, 調整, 整数, 準備, 設備"
"正面","しょうめん","しょう.めん","front, frontage.","正面のドアは鍵がかかったままだった。","The front door remained locked.","修正, 正午, 正直, 場面, 表面, 面倒, 面白い, 真面目"
"生存","せいぞん","せい.ぞん","existence, being.","その子の生存に対する希望は急速に消えつつある。","Hope of finding the child alive is fading rapidly.","学生, 存在, 保存, 存続, 誕生日, ご存知, 一生懸命"
"製作","せいさく","せい.さく","manufacture, production.","この工場では自動車の部品を製作している。","This factory manufactures automobile parts.","製造, 製品, 作製, 製鉄, 作文, 作業, 作家, 作品"
"先端","せんたん","せん.たん","pointed end, tip.","ヨーロッパとアフリカの西海岸をとおりすぎ、アフリカ南部の先端までとびます。","Past the west coasts of Europe and Africa to the tip of southern Africa.","先月, 先週, 途端, 半端, 極端, 真っ先"
"宣伝","せんでん","せん.でん","publicity, advertisement.","その商品はテレビで宣伝されている。","The goods are advertised on TV.","宣言, 宣告, 宣誓, 伝統, 宣教師, 手伝う"
"前後","ぜんご","ぜん.ご","front and rear, front and back.","彼は首を前後に振りました。","He shook his head back and forth.","午前, 名前, 以前, 前進, 午後, 後者"
"全身","ぜんしん","ぜん.しん","whole (body), full-length (e.g. portrait).","彼女は全身ずぶぬれだった。","She was soaked from head to foot.","全部, 安全, 完全, 自身, 出身, 中身, 身長"
"狙い","ねらい","ねら","aim (of a gun, bow, etc.), aim.","彼女のねらいは教師になることである。","She aims to become a teacher.","狙撃, 狙撃兵"
"素直","すなお","す.なお","obedient, meek.","思っていることを素直に言うのは悪いことではありません。","Saying what you think frankly is not a bad thing.","酸素, 素敵, 素人, 要素, 直接, 直径, 正直, 真っ直ぐ, 素晴らしい"
"創作","そうさく","そう.さく","creation, production.","この画家は美しい絵画を創作する。","This artist creates beautiful paintings.","創造, 創立, 創刊, 独創, 作文, 作業, 作家, 作品"
"倉庫","そうこ","そう.こ","storehouse, warehouse.","その倉庫は麻薬密売者の隠れみのだった。","The warehouse was a front for drug traffickers.","米倉, 鎌倉, 倉敷, 金庫, 車庫, 文庫, 冷蔵庫"
"相撲","すもう","すもう","sumo (wrestling), sumo wrestler.","ここでは私は議論を、なぜ相撲の好きな外国人が多いか、に限定したい。","Here, I'll confine this discussion to why many foreigners enjoy sumo.","相手, 首相, 打撲, 撲滅, 相応しい, 相変わらず"
"窓口","まどぐち","まど.ぐち","counter, window.","トラベラーズチェックを現金に替えてくれるのはこの窓口ですか。","Is this the right window for cashing travelers' checks?","窓際, 同窓, 出口, 人口, 悪口, 利口, 同窓会"
"増大","ぞうだい","ぞう.だい","enlargement, increase.","貿易が国富を増大させた。","Trade increased the country's wealth.","増加, 大学, 大勢, 大人, 大使館, 大好き"
"測定","そくてい","そく.てい","measurement, measuring instrument.","測定においては正確さは欠かせないものである。","Precision in measurement is a necessity.","予測, 観測, 測量, 予定, 勘定, 安定, 定規"
"体制","たいせい","たい.せい","order, system.","日本はガット自由貿易体制における最大の受益者の一つだったということができる。","Japan has been one of the greatest beneficiaries of the free trade system under the GATT regime.","大体, 体裁, 一体, 全体, 制限, 制度, 制作, 規制"
"体操","たいそう","たい.そう","gymnastics, physical exercises.","朝食前にいつも体操をします。","I always take some exercise before breakfast.","大体, 体裁, 一体, 全体, 操作, 操縦, 操業"
"対策","たいさく","たい.さく","measure, step.","その場しのぎの対策では麻薬中毒問題に切り込むことはできないでしょう。","Stopgap measures won't make a dent in drug addiction.","反対, 絶対, 対象, 政策, 策略, 方策"
"対立","たいりつ","たい.りつ","confrontation, opposition.","そのヤクザ達は対立するヤクザの親分を暗殺する計画の仲間に彼を入れた。","The gangsters let him in on their plan to knock off a rival gang leader.","反対, 絶対, 対象, 独立, 立派, 立場, 目立つ"
"大学院","だいがくいん","だい.がく.いん","graduate school, graduate student.","大学院に進学するつもりです。","I'm planning to go to graduate school.","大勢, 大人, 学生, 学校, 病院, 入院, 退院, 寺院, 大使館, 大好き, 小学校"
"大工","だいく","だい.く","carpenter, carpentry.","私のおじいちゃんは大工です。","My grandfather is a carpenter.","大学, 大勢, 大人, 工業, 工夫, 工場, 人工, 大使館, 大好き"
"団地","だんち","だん.ち","multi-unit apartments, apartment complex.","","","集団, 布団, 団扇, 団体, 地震, 地図, 生地, 地理, 座布団, 地下鉄"
"段階","だんかい","だん.かい","stage, step.","病気はまだ初期の段階です。","The disease is still in the primary stage.","階段, 値段, 段々, 手段, 普段, 階級, 二階建て"
"知人","ちじん","ち.じん","friend, acquaintance.","もし私の家が大邸宅だったら私の誕生日のパーティーには知人をみんな招待するのだが。","If my house were a mansion, I would invite everyone I know to my birthday party.","知恵, 知事, 人形, 一人, 恋人, ご存知, 外国人"
"地帯","ちたい","ち.たい","zone, area.","ツンドラ地帯の気候は厳しい。","The tundra has a harsh climate.","地震, 地図, 生地, 地理, 熱帯, 包帯, 地下鉄"
"地点","ちてん","ち.てん","spot, point.","その湖はこの地点が深い。","The lake is deep at this point.","地震, 地図, 生地, 地理, 欠点, 地下鉄, 交差点"
"竹","たけ","たけ","bamboo (any grass of subfamily Bambusoideae), middle (of a three-tier ranking system).","林に竹が目立つ。","Bamboo stands out in the woods.",""
"中間","ちゅうかん","ちゅう.かん","middle, midway.","厳しさと甘さの中間を見つける。","Find a mean between harshness and indulgence.","背中, 年中, 途中, 昼間, 時間, 人間, 世間, 中学校, 真ん中"
"中年","ちゅうねん","ちゅう.ねん","middle-age, middle age.","彼女は中年の都会派プロフェッショナルでした。","She was a middle-aged urban professional.","背中, 年中, 途中, 来年, 今年, 去年, 中学校, 真ん中, 一昨年"
