Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"加工","かこう","か.こう","manufacturing, processing.","イチゴは加工されてジャムになります。","Strawberries are made into jam.","参加, 増加, 加減, 工業, 工夫, 工場, 大工, 人工"
"加入","かにゅう","か.にゅう","joining (a club, organization, etc.), becoming a member.","まさかの時のために彼は保険に加入した。","He insured himself for a rainy day.","参加, 増加, 加減, 入院, 入口, 入学"
"課題","かだい","か.だい","subject, theme.","その学生は自分の課題に専念した。","The student concentrated on his subject.","課長, 課目, 課程, 日課, 問題, 宿題, 話題, 題名"
"過ぎ","すぎ","す","past, after.","１０時過ぎには電話をしないで下さい。","Don't call me up after ten o'clock.","過去, 通過"
"会見","かいけん","かい.けん","interview, audience.","我が党の党首は他の党首達と会見し、その問題について話をした。","The leader of our party met with the other leaders and talked about the problem.","会社, 会議, 会場, 意見, 見物, 出会う, 見舞い"
"会談","かいだん","かい.だん","talks (i.e. formal discussions), conference.","会談は２日間続いた。","The talks continued for two days.","会社, 会議, 会場, 冗談, 相談, 対談, 雑談, 出会う"
"解除","かいじょ","かい.じょ","termination (of a contract), cancellation.","貿易障壁は戦争終結後解除されました。","Trade barriers were lifted after the war ended.","解決, 解釈, 削除, 掃除, 取り除く"
"回収","かいしゅう","かい.しゅう","collection, recovery.","いよいよ賭け金を回収するときがきました。","It's time to call in our chips.","回復, 今回, 収穫, 収入, 吸収"
"改革","かいかく","かい.かく","reform, reformation.","「冬の時代」が大学改革の起爆剤となってくれればと思う。","So-called winter time is expected to enhance the college reform.","改善, 改造, 改正, 革命, 革新, 変革"
"改良","かいりょう","かい.りょう","improvement, reform.","コンピューターはたえず改良されている。","Computers are constantly being improved.","改善, 改造, 改正, 不良, 良好, 良心"
"開催","かいさい","かい.さい","holding (a conference, exhibition, etc.), opening.","彼らは一連の音楽会を開催した。","They gave a series of concerts.","開始, 開放, 催促, 主催"
"開発","かいはつ","かい.はつ","development, exploitation (of resources).","エンドユーザーの視野にたった商品開発が必須。","Our new product development efforts must be done from the end user's viewpoint.","開始, 開放, 発音, 発見, 出発, 発作, 爆発"
"階","かい","かい","storey, story.","それはもう一つ下の階ですよ。","That's one level down.",""
"階級","かいきゅう","かい.きゅう","(social) class, rank.","彼は中流階級の出だ。","He comes from the middle class.","階段, 段階, 高級, 上級, 初級, 学級, 二階建て"
"概念","がいねん","がい.ねん","general idea, concept.","彼の福祉の概念はかなり観念的だ。","His notion of welfare is pretty abstract.","概論, 大概, 概要, 残念, 記念, 観念, 一概に, 記念日"
"核","かく","かく","stone (of a fruit), pit.","この核時代にあっては、世界中どこの国だって安全ではない。","No country under the sun is safe in this nuclear age.",""
"獲得","かくとく","かく.とく","acquisition, possession.","その子供達２人が賞を獲得した。","Both of the children won a prize.","獲物, 乱獲, 捕獲, 漁獲, 得意, 納得, 心得る"
"確定","かくてい","かく.てい","decision, settlement.","月曜までに確定見積もりが必要です。","We need a firm quotation by Monday.","確実, 確認, 明確, 予定, 勘定, 安定, 定規"
"確保","かくほ","かく.ほ","securing, obtaining.","お庭の方にも縁台を並べれば、かなり座席数を確保できそうだなーと思いました。","I thought that if we lined up benches in the garden as well, we could achieve quite a seating capacity.","確実, 確認, 明確, 保存, 保証, 保健"
"確立","かくりつ","かく.りつ","establishment, settlement.","どうやって最良の形式を確立するかという問題はまだ解決されていない。","The question of how to establish the optimal formula is still open.","確実, 確認, 明確, 独立, 立派, 立場, 目立つ"
"革命","かくめい","かく.めい","revolution, 58th year of the sexagenary cycle (in Onmyōdō).","鉄道はある種の革命を引き起こした。","The railroad provoked a kind of revolution.","改革, 革新, 変革, 寿命, 生命, 命令, 一生懸命"
"活発","かっぱつ","かっ.ぱつ","lively, active.","私たちはとても活発な討論をした。","We had a very vigorous debate.","生活, 活気, 活動, 活用, 発音, 発見, 出発, 発作, 爆発"
"官僚","かんりょう","かん.りょう","bureaucrat, government official.","彼の辞職で官僚の席に空きができた。","His resignation left a vacancy in the cabinet.","警官, 官庁, 器官, 官邸, 同僚, 閣僚, 幕僚, 僚友"
"幹部","かんぶ","かん.ぶ","management, (executive) staff.","","","幹事, 幹線, 全部, 部屋, 部長, 部分, 新幹線, 大部分"
"感染","かんせん","かん.せん","infection, contagion.","「トイレの便座からエイズが感染することってあるの？」「いいえ、ありません」","Is it possible to catch AIDS from toilet seats? No, it isn't.","感覚, 感謝, 感情, 感動, 汚染, 伝染"
"監視","かんし","かん.し","monitoring, watching.","彼は衛生監視員である。","He is a sanitary inspector.","監督, 監禁, 監査, 監察, 重視, 無視, 視察, 視点"
"看護","かんご","かん.ご","nursing, (army) nurse.","３人の看護婦が四六時中瀕死の大臣の看護に当たった。","Three nurses attended the dying minister night and day.","看板, 看病, 弁護, 保護"
"企画","きかく","き.かく","planning, plan.","私はあなたの企画に参加する。","I take part in your enterprise.","企業, 映画, 計画, 漫画, 大企業, 映画館"
"危機","きき","き.き","crisis, critical situation.","我々は一大危機に直面している。","We are facing a violent crisis.","危険, 危惧, 機会, 機械, 機関, 機能, 飛行機"
"機構","きこう","き.こう","mechanism, machinery.","どこか機構が悪いに違いない。","Something must be wrong with the machinery.","機会, 機械, 機関, 機能, 結構, 構成, 構造, 飛行機"
"規制","きせい","き.せい","regulation, (traffic) policing.","交通規制には従わないといけない。","We should obey the traffic rules.","規則, 定規, 規準, 規律, 制限, 制度, 制作, 体制, 不規則"
"規定","きてい","き.てい","stipulation, prescription.","この犯罪に対して法律はある罰則が規定されている。","The law prescribes certain penalties for this offence.","規則, 定規, 規準, 規律, 予定, 勘定, 安定, 不規則"
"規模","きぼ","き.ぼ","scale, scope.","我々のクラスは規模が大きくなった。","Our class has increased in size.","規則, 定規, 規準, 規律, 模様, 模型, 模範, 模倣, 不規則"
"軌道","きどう","き.どう","orbit, trajectory.","その衛星は地球の軌道を１０周した。","The satellite made 10 orbits of the earth.","軌跡, 常軌, 軌範, 柔道, 水道, 片道, 道具"
"偽造","ぎぞう","ぎ.ぞう","forgery, counterfeiting.","その文書は本物でも偽造されたものでもない。","The document is neither genuine nor forged.","偽装, 真偽, 偽物, 製造, 改造, 荷造り"
"技","わざ","わざ","technique, art.","柔道では力より技のほうが大切である。","In judo, technique is more important than strength.",""
"犠牲","ぎせい","ぎ.せい","sacrifice, victim (esp. someone killed).","数千人がこの病気の犠牲になった。","Thousands of people became victims of this disease.","犠飛, 犠打"
"議題","ぎだい","ぎ.だい","topic of discussion, agenda.","議題を変えてみたらどうだろう。","Suppose we change the subject.","会議, 議員, 議会, 議長, 問題, 宿題, 話題, 題名, 会議室"
"脚本","きゃくほん","きゃく.ほん","script, screenplay.","脚本を書いていて、行き詰まった時はどうする？","What do you do when you get writer's block while writing a script?","脚色, 立脚, 脚光, 本当, 日本, 本棚, 根本"
"救援","きゅうえん","きゅう.えん","relief, rescue.","彼らは直ちに我々の救援にやってきた。","They came presently to our rescue.","救助, 救済, 援助, 応援, 支援, 後援"
"救済","きゅうさい","きゅう.さい","relief, aid.","その老人は貧民救済に多額の金を寄付した。","The old man contributed a large sum of money to the poor.","救助, 救援, 経済, 返済"
"給食","きゅうしょく","きゅう.しょく","provision of lunch (e.g. at office, school, etc.), providing a meal.","給食はあるの？","Do you have lunch at school?","給料, 供給, 支給, 給与, 月給, 食堂, 食器, 食べ物, 食料品"
"拒否","きょひ","きょ.ひ","refusal, rejection.","私はその質問に答えることを拒否する。","I refuse to answer the question.","拒絶, 否定, 否決, 否認, 否々, 拒絶反応"
"距離","きょり","きょ.り","distance, range.","４マイルはかなりの距離だ。","Four miles is a good distance.","離婚, 分離"
"協議","きょうぎ","きょう.ぎ","conference, consultation.","私たちはその問題を彼らと協議した。","We consulted them about the problem.","協同, 協力, 妥協, 農協, 会議, 議員, 議会, 議長, 会議室"
"強制","きょうせい","きょう.せい","compulsion, coercion.","何も私にそれをあきらめるように強制することができない。","Nothing can force me to give it up.","勉強, 強盗, 制限, 制度, 制作, 体制, 規制, 力強い"
"強烈","きょうれつ","きょう.れつ","strong, intense.","彼の返報は鼻への強烈なパンチだった。","His answer was a hard punch on the nose.","勉強, 強盗, 猛烈, 熱烈, 痛烈, 鮮烈, 力強い"
"恐れ","おそれ","おそ","fear, horror.","環境汚染についての恐れは、人々に発電所の近くに家を建てることを思いとどまらせた。","Fear of pollution discouraged people from building homes near power plants.","恐怖, 恐縮"
"教員","きょういん","きょう.いん","teacher, instructor.","お前は教員になる決心をしたのか。","Have you made up your mind to become a teacher?","教室, 教育, 店員, 委員, 会員, 議員, 公務員"
"教訓","きょうくん","きょう.くん","lesson, precept.","実例は教訓にまさる。","Example is better than precept.","教室, 教育, 訓練, 特訓, 訓読み"
"業者","ぎょうしゃ","ぎょう.しゃ","trader, dealer.","あぶく銭を稼ごうとする開発業者たちよ。","They're some developers who aim to make a fast buck!","授業, 工業, 産業, 卒業, 営業, 医者, 患者, 悪者, 歯医者"
"業績","ぎょうせき","ぎょう.せき","achievement, performance.","会社は昇進で彼の業績に報いた。","The company rewarded him with promotion.","授業, 工業, 産業, 卒業, 営業, 成績, 実績, 功績, 紡績"
"曲","きょく","きょく","composition, piece of music.","そのピアニストはアンコールに応えて２曲弾いた。","The pianist played two encores.",""
"極端","きょくたん","きょく.たん","extreme, extremity.","君の言うことは極端じゃないか。","Aren't you pushing it too far?","極楽, 南極, 北極, 途端, 半端, 先端, 積極的, 消極的"
"勤務","きんむ","きん.む","service, duty.","その警備員は一晩中勤務だった。","The guard was on duty all night.","通勤, 出勤, 義務, 公務員, 事務所"
"緊急","きんきゅう","きん.きゅう","urgency, emergency.","緊急の場合は、１１９番に電話しなさい。","In case of emergency, call 119.","緊張, 緊迫, 緊密, 緊縮, 特急, 急行"
"軍事","ぐんじ","ぐん.じ","military affairs, military force.","彼らは軍事予算を増大させようとした。","They intended to increase the military budget.","軍隊, 軍備, 軍艦, 事故, 仕事, 見事, 事務所"
"刑","けい","けい","penalty, sentence.","彼は懲役十年で、女房には三年の刑が下った。","He was given ten years and his wife three.",""
"形成","けいせい","けい.せい","formation, molding.","世界の熱帯雨林は、この惑星上の生命が形成する生態学的な連鎖の中で、かけがえのない環をなしているのである。","The world's tropical rainforests are critical links in the ecological chain of life on the planet.","形式, 人形, 図形, 完成, 構成, 賛成, 成功, 成人, 長方形"
"掲げる","かかげる","かか","to put up (a notice, sign, etc.), to hang out (e.g. a banner).","彼は旗をかかげた。","He put up a flag.","掲示, 掲載, 掲揚, 掲示板"
"掲載","けいさい","けい.さい","publication (e.g. of an article in a newspaper), carrying (e.g. a story).","それは昨日の産経新聞に掲載された。","It came out in yesterday's Sankei.","掲示, 掲揚, 記載, 連載, 搭載, 掲示板"
"携帯","けいたい","けい.たい","carrying (on one's person or in the hand), mobile phone.","アメリカ人は武器の携帯を許されている。","Americans have the right to bear arms.","提携, 熱帯, 地帯, 包帯"
"経過","けいか","けい.か","passage (of time), elapsing.","それ以来３年が経過した。","Three years have passed since then.","経済, 経営, 経験, 過去, 通過, 通り過ぎる"
"経費","けいひ","けい.ひ","expenses, expenditure.","私たちは、経費を切りつめなければならない。","We must cut down our expenses.","経済, 経営, 経験, 消費, 実費, 費用"
"警戒","けいかい","けい.かい","vigilance, caution.","彼は我々を警戒しているようだ。","He seems to be wary of us.","警官, 警察, 警告, 警備, 懲戒, 戒厳令"
"決意","けつい","けつ.い","decision, determination.","彼女は私に自分の決意を知らせてくれた。","She informed me of her decision.","解決, 可決, 決定, 意味, 意見, 注意, 用意, 意外"
"決勝","けっしょう","けっ.しょう","decision of a contest, finals (in sports).","決勝まで残った走者は５人だった。","Five runners reached the finals.","解決, 可決, 決定, 優勝, 勝負"
"決断","けつだん","けつ.だん","decision, determination.","決断の日は近い。","The day of decision is at hand.","解決, 可決, 決定, 判断, 横断, 診断, 断定"
"結成","けっせい","けっ.せい","formation, combination.","ボート競技に参加する為に新チームが結成された。","A new team was formed in order to take part in the boat race.","結構, 結論, 結婚, 団結, 完成, 構成, 賛成, 成功, 成人"
"健全","けんぜん","けん.ぜん","healthy, sound.","母子ともに健全です。","Mother and child are both doing well.","健康, 保健, 穏健, 全部, 安全, 完全"
"検事","けんじ","けん.じ","public prosecutor, chief public prosecutor.","検事は誘導尋問をした。","The prosecutor asked me a leading question.","検査, 検討, 点検, 探検, 事故, 仕事, 見事, 事務所"
"権威","けんい","けん.い","authority, power.","学生たちは権威に反抗した。","The students revolted against authority.","権利, 権限, 権力, 政権, 威嚇, 威勢, 威力, 威張る"
"権限","けんげん","けん.げん","power, authority.","何の権限で私に出て行けと言うのだ。","Who are you to tell me to get out?","権利, 権威, 権力, 政権, 限界, 制限, 期限, 限度"
"権力","けんりょく","けん.りょく","(political) power, authority.","王は権力を奪われた。","The king was shorn of his power.","権利, 権威, 権限, 政権, 強力, 努力, 能力, 力強い"
"見方","みかた","み.かた","viewpoint, point of view.","私の見方ではもう少し待つほうがよさそうだ。","From my point of view, it would be better to wait a little longer.","意見, 見物, 仕方, 一方, 夕方, 両方, 見舞い"
"原作","げんさく","げん.さく","original work, original author (of a work).","そのドラマは原作と違っている。","The drama differs from the original story.","原因, 原稿, 原理, 作文, 作業, 作家, 作品"
"原則","げんそく","げん.そく","principle, general rule.","ずっと昔からこの原則は認められてきた。","Years ago this principle was widely recognized.","原因, 原稿, 原理, 規則, 法則, 校則, 不規則"
"原点","げんてん","げん.てん","starting point, origin.","","","原因, 原稿, 原理, 欠点, 交差点"
"原爆","げんばく","げん.ばく","atomic bomb, A-bomb.","原爆は人類にとって重大な脅威だ。","The atomic bomb is a grave threat to mankind.","原因, 原稿, 原理, 爆発, 爆弾, 爆撃, 水爆"
"減少","げんしょう","げん.しょう","decrease, reduction.","あまりチームに頼りすぎると、個人の闘争本能が減少するかもしれない。","When you rely on the team too much, it may reduce your individual competitive instincts.","加減, 増減, 少年, 多少"
"源","みなもと","みなもと","source (of a river), fountainhead.","良い新聞記者は、どんなニュース源からも、つまり、出所不明型のニュース源からも、学びとれるものはなんでも利用する。","A good newspaper reporter takes advantage of what he learns from any source, even the little bird told him so type of source.",""
"現地","げんち","げん.ち","actual place, actual location.","現地企業でのインターンシップを体験する。","I'm going to do an internship at a local company.","現金, 現在, 地震, 地図, 生地, 地理, 地下鉄"
"限定","げんてい","げん.てい","limit, restriction.","切符の数は限定されていた。","The number of tickets was limited.","限界, 制限, 期限, 限度, 予定, 勘定, 安定, 定規"
"個性","こせい","こ.せい","individuality, personality.","彼はすばらしい個性を持っている。","He has a wonderful personality.","個人, 個所, 個体, 個々, 女性, 男性, 性格, 性能"
"古代","こだい","こ.だい","ancient times, distant past.","古代インカの時代に、アメリカ大陸でもっとも大きい都市であった。","In the days of the ancient Incas, it was the largest city in America.","中古, 古典, 稽古, 時代, 交代, 現代"
"固定","こてい","こ.てい","fixing (in place), being fixed (in place).","このテーブルはがたつく。しっかり固定させてくれ。","This table is shaky. Make it stay firm.","固有, 頑固, 予定, 勘定, 安定, 定規"
"孤立","こりつ","こ.りつ","isolation, being alone.","この地域はきわめて孤立している。","This area is extremely isolated.","孤独, 孤児, 孤島, 独立, 立派, 立場, 孤児院, 目立つ"
"雇用","こよう","こ.よう","employment, hire.","少数民族の雇用促進政策とはいっても、建前にすぎず、現状はマイノリティーが職に就けるチャンスなどほとんどない。","Although many pay lip service to the idea of affirmative action, in reality, very few minorities get hired.","解雇, 用意, 利用, 用事, 雇い主, 日雇い"
"交渉","こうしょう","こう.しょう","negotiations, bargaining.","労働組合は経営陣と交渉している。","The labor union is negotiating with the owners.","交番, 干渉, 渉外, 交差点"
"公演","こうえん","こう.えん","public performance, exhibition in a foreign country.","ロイヤル・シアターの夜の部の公演が終わり、観客たちは帰って行った。","The evening performance at the Royal Theater had ended, and the audience had gone home.","公園, 公平, 公式, 演技, 演説, 講演, 演奏, 演劇, 公務員"
"公開","こうかい","こう.かい","opening to the public, making available to the public.","この公園はすべての人に公開されている。","The park is open to everybody.","公園, 公平, 公式, 開始, 開放, 公務員"
"公認","こうにん","こう.にん","official recognition, official approval.","新しい候補者が、民主党の党大会で公認候補となりました。","There was a new candidate on the ticket at the Democratic convention.","公園, 公平, 公式, 確認, 承認, 認識, 公務員"
"効率","こうりつ","こう.りつ","efficiency, efficient.","彼は事務効率をよくする案を出した。","He put forward a plan for improving office efficiency.","効果, 有効, 効力, 軽率, 率直, 確率, 効き目"
"向き","むき","む","direction, orientation.","これは若者向きの車です。","This is a car for young people.","傾向, 日向"
"向上","こうじょう","こう.じょう","elevation, rise.","近代的方法で産業は向上した。","Modern methods improved industry.","傾向, 日向, 上手, 上着, 申し上げる"
"工作","こうさく","こう.さく","handicraft, work.","彼は工作に熟練している。","He is skilled in handicraft.","工業, 工夫, 工場, 大工, 人工, 作文, 作業, 作家, 作品"
"巧み","たくみ","たく","skillful, adroit.","彼は、話術が巧みだ。","He has a good art of talking.","巧妙, 精巧, 技巧, 巧者"
"抗議","こうぎ","こう.ぎ","protest, objection.","私はこれを抗議と解釈した。","I interpreted this as a protest.","抵抗, 反抗, 対抗, 抗争, 会議, 議員, 議会, 議長, 会議室"
"拘束","こうそく","こう.そく","restriction, restraint.","この決定は諸君全部を拘束するものではない。","This decision is not binding on all of you.","拘置, 拘禁, 約束, 束縛, 拘置所, 束の間"
"控える","ひかえる","ひか","to be temperate in, to refrain.","あなたは喫煙をひかえるべきです。","You should refrain from smoking.","控室, 控訴, 控え室, 買い控え"
"行","ぎょう","ぎょう","line (of text), row.","彼は１０行に１０個の間違いをした。","He made ten mistakes in as many lines.",""
"行為","こうい","こう.い","act, deed.","彼は自分の行為を正当化しようとしている。","He is trying to justify his act.","銀行, 行儀, 為替"
"行政","ぎょうせい","ぎょう.せい","executive, government.","その省は内政問題の行政をつかさどる。","The ministry administers the internal affairs.","銀行, 行儀, 政治, 政府, 政党, 政権"
"購入","こうにゅう","こう.にゅう","purchase, buying.","チケット購入に必要な個人情報をインプットする。","To purchase a ticket, you need to enter your personal details.","購買, 購読, 入院, 入口, 入学, 定期購読"
"高まる","たかまる","たか","to rise, to swell.","歓呼の声はどよめきにまで高まった。","The cheers swelled to a roar.","高校, 残高, 高校生"
"合意","ごうい","ごう.い","(coming to an) agreement, consent.","彼らは休戦条件で合意した。","They agreed on cease-fire terms.","都合, 試合, 合併, 意味, 意見, 注意, 用意, 意外, 間に合う"
"国産","こくさん","こく.さん","domestically produced, domestic.","しかし、国産ワインといっても、国内で瓶詰めされたものは全て国産ワインとなります。","Having said 'domestic wine', anything bottled domestically is deemed to be domestic wine.","外国, 国家, 天国, 産業, 生産, 土産, お土産"
"国防","こくぼう","こく.ぼう","national defence, national defense.","国防のため大きな額が計上された。","A considerable amount of money was appropriated for the national defense.","外国, 国家, 天国, 消防, 予防, 防止, 消防署"
"国連","こくれん","こく.れん","United Nations, UN.","ＵＮは「国連」を表します。","UN stands for the United Nations.","外国, 国家, 天国, 連絡, 関連"
"根拠","こんきょ","こん.きょ","basis, grounds.","その噂は全く根拠がなかった。","The rumor was completely without foundation.","屋根, 根本, 羽根, 証拠, 拠点, 本拠, 占拠"
"詐欺","さぎ","さ.ぎ","fraud, swindle.","私の知る限り、彼はその詐欺の企みには関与していません。","To my knowledge, he has not been involved in the fraud scheme.","詐称, 詐取, 欺瞞"
"再建","さいけん","さい.けん","rebuilding, reconstruction.","その城は、１４８５年に全焼して、再建されなかった。","The castle, burnt down in 1485, was not rebuilt.","再三, 建設, 建物, 建築, 再来年, 再来月, 二階建て"
"再生","さいせい","さい.せい","restoration to life, coming to life again.","私たちは再生可能なエネルギー源を開発する必要がある。","We must develop renewable energy sources.","再三, 再建, 学生, 再来年, 再来月, 誕生日, 一生懸命"
"採用","さいよう","さい.よう","use, adoption.","６世紀にアングロ・サクソン族はローマ文字を採用した。","In the 6th century, the Anglo-Saxons adopted Roman characters.","採点, 採算, 採決, 用意, 利用, 用事"
"栽培","さいばい","さい.ばい","cultivation, agricultural species.","その農場経営者は色々な種類の作物を栽培している。","The farmer cultivates a variety of crops.","盆栽, 植栽, 前栽, 培養, 培養液"
"災害","さいがい","さい.がい","calamity, disaster.","嵐は、多くの災害を引き起こした。","The storm caused a lot of damage.","火災, 災難, 天災, 防災, 障害, 損害, 被害, 利害"
"細胞","さいぼう","さい.ぼう","cell, cell (in an organization, esp. a communist party).","この地域社会に住む一人一人は、健康な人間が持つ免疫機構の細胞のようなものだ。","Every person in this community is like a cell in the immune system of a healthy human body.","詳細, 同胞, 胞子, 心細い"
"作","さく","さく","work (e.g. of art), piece.","この絵はモネの作とされている。","This painting is attributed to Monet.",""
"作戦","さくせん","さく.せん","tactics, strategy.","タイムをとって作戦を練ろう。","Let's take time out to elaborate a strategy.","作文, 作業, 作家, 作品, 戦争, 大戦"
"削減","さくげん","さく.げん","cut, reduction.","彼女は支出を徐々に削減した。","She pared down her expenditures.","削除, 添削, 加減, 増減, 減少, 削り節"
"殺人","さつじん","さつ.じん","murder, homicide.","彼は殺人以外のことなら何でもするだろう。","He will do anything but murder.","自殺, 暗殺, 虐殺, 人形, 一人, 恋人, 外国人"
"使命","しめい","し.めい","mission, errand.","彼らは使命を果たした。","They accomplished their mission.","使用, 大使, 寿命, 生命, 命令, 大使館, 一生懸命"
"司法","しほう","し.ほう","administration of justice, judicature.","独裁者は司法権を自分のものとした。","The dictator arrogated judicial powers to himself.","司会, 上司, 寿司, 法律, 文法, 方法, 憲法"
"志","こころざし","こころざし","will, resolution.","何事をするにも志が大切。","The will is as good as the deed.",""
"思考","しこう","し.こう","thought, consideration.","彼女の思考法は合理的だった。","Her way of thinking was rational.","思想, 参考, 考慮, 不思議, 思い出す"
"指揮","しき","し.き","command, direction.","彼女は計画の立案を指揮した。","She directed the planning of the project.","指導, 指図, 発揮, 揮発, 目指す"
"指示","しじ","し.じ","indication, denotation.","私たちはあなたを空港までお連れするようにとの指示を受けています。","I have been instructed to take you to the airport.","指導, 指図, 掲示, 展示, 暗示, 目指す"
"指摘","してき","し.てき","pointing out, identification.","印刷ミスはすぐに指摘されなければならない。","Mistakes in the printing should be pointed out at once.","指導, 指図, 摘発, 目指す"
"支持","しじ","し.じ","support, backing.","我々はこぞって君を支持する。","We are solidly behind you.","支店, 支配, 維持, 持参, 気持ち, 金持ち, 差し支え"
"施設","しせつ","し.せつ","facility, facilities.","教育施設を拡充する金をもっと多くと望んでいる。","People want more money to expand educational institutions.","実施, 施行, 布施, 建設, 設計, 設備, 設置"
"死刑","しけい","し.けい","death penalty, capital punishment.","その犯罪は死刑に値する。","That crime is punishable by death.","死亡, 必死, 死体, 刑事, 処刑, 刑務所"
"視察","しさつ","し.さつ","inspection, observation.","彼は来月中国へ視察旅行に出かけます。","He is leaving for China on an inspection tour next month.","重視, 無視, 監視, 視点, 警察, 観察, 診察"
"視点","してん","し.てん","point of view, viewpoint.","これは十分根拠のある視点だ。","This is a valid point of view.","重視, 無視, 監視, 視察, 欠点, 交差点"
